© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Role of IL-17A in Arthritis	8.12E-01	2.61E-01	NaN	MAP2K4,PIK3C2B,PIK3CA,GRB2,PIK3R1,MAPK8,PIK3R4,CXCL3,NFKBID,IKBKG,PIK3CG,IRS2,PIK3CB,PTGS2,NFKBIB,FRS2,MAP2K1,ATM
Amyloid Processing	8.06E-01	2.75E-01	-2.000	AKT2,PRKAR2A,NCSTN,CDK5R1,PRKAG1,CSNK2A2,CAPNS1,AKT1,CDK5,CAPN1,APH1A,PRKACA,GSK3B,CSNK2B
STAT3 Pathway	7.96E-01	2.57E-01	-2.065	MAP2K4,SOCS3,MAP3K9,PTPN6,TGFBR1,NRAS,RRAS,SOCS6,MAPK8,BMPR2,KRAS,JAK2,STAT3,PIAS3,MAP3K12,PIM1,BMPR1A,CDKN1A,MAP2K1
Endoplasmic Reticulum Stress Pathway	7.95E-01	3.33E-01	NaN	CASP3,MAPK8,DNAJC3,ATF6,HSPA5,EIF2S1,CASP7
Dermatan Sulfate Degradation (Metazoa)	7.94E-01	3.53E-01	NaN	IDUA,TMEM2,IDS,GM2A,HEXA,HEXB
Rapoport-Luebering Glycolytic Shunt	7.72E-01	5E-01	NaN	MINPP1,TIGAR,BPGM
Oncostatin M Signaling	7.71E-01	2.94E-01	-3.162	SHC1,NRAS,RRAS,GRB2,SOS1,KRAS,JAK2,STAT3,ELK1,MAP2K1
Role of p14/p19ARF in Tumor Suppression	7.58E-01	2.79E-01	2.887	PIK3C2B,PIK3CA,GRB2,PIK3CG,PIK3R1,PIK3CB,MDM2,IRS2,PIK3R4,FRS2,POLR3D,ATM
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	7.53E-01	2.34E-01	-3.922	MAP2K4,PIK3CA,LIF,PIK3R1,EIF2S1,PIK3R4,TICAM1,TGFB1,PIK3CG,TLR1,CREB1,CASP1,IRS2,FRS2,RIPK2,PRKD3,ATM,PIK3C2B,IFNG,OAS1,IL10,GRB2,MAPK8,IRF7,PRKCI,PRKCD,PLCG2,SYK,Oas1d (includes others),MAVS,PIK3CB,EIF2AK2
Nitric Oxide Signaling in the Cardiovascular System	7.51E-01	2.39E-01	-4.707	PIK3CA,Calm1 (includes others),PIK3R1,VEGFB,SLC7A1,PIK3R4,PRKAG1,VEGFA,AKT1,PDE3B,PIK3CG,PRKAA1,IRS2,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,AKT2,GRB2,PRKAR2A,PRKCI,PRKCD,PDE1B,PRKACA,HSP90AA1,PIK3CB
April Mediated Signaling	7.42E-01	2.82E-01	-2.111	MAP2K4,NFKBID,FOS,IKBKG,NFATC3,MAP3K1,MAPK8,IKBKE,CHUK,ELK1,NFKBIB
5-aminoimidazole Ribonucleotide Biosynthesis I	7.42E-01	6.67E-01	NaN	PFAS,GART
Coenzyme A Biosynthesis	7.42E-01	6.67E-01	NaN	PPCS,COASY
S-methyl-5-thio-α-D-ribose 1-phosphate Degradation	7.42E-01	6.67E-01	NaN	MRI1,ADI1
Glutamate Degradation II	7.42E-01	6.67E-01	NaN	GOT1,GOT2
Aspartate Biosynthesis	7.42E-01	6.67E-01	NaN	GOT1,GOT2
Tight Junction Signaling	7.42E-01	2.28E-01	NaN	F2RL2,MYH9,TGFBR1,MYL6,VTI1A,PPP2R2A,PPP2CA,PPP2R5B,NAPG,CDK4,MPP5,CTNNA1,PARD6A,PRKAG1,PTEN,NSF,AKT1,TGFB1,MYL4,TNFRSF1B,BET1L,AKT2,CSTF1,TJP1,ACTB,HSF1,PRKAR2A,GPAA1,PPP2R5A,FOS,PRKCI,RHOA,NUDT21,PRKACA,PPP2R5E,GOSR2,CSTF3,ACTG1
Lipid Antigen Presentation by CD1	7.42E-01	3.08E-01	NaN	B2M,AP2M1,AP1G2,CD3E,CANX,AP1B1,AP2A2,AP2S1
RhoGDI Signaling	7.38E-01	2.26E-01	4.490	GDI1,MYL6,ARPC1B,ARHGEF7,RACK1,GNA11,PIKFYVE,RHOH,PAK1,ACTR3,GNA15,RHOB,ARHGAP12,MYL4,ARHGEF11,GNG5,PAK4,ARHGEF4,ARHGEF12,ARPC5L,RHOC,GNA12,ACTB,GNG2,GDI2,GNAQ,GNG10,ARHGAP5,ROCK1,GNAI3,ARHGEF5,RHOQ,ARPC1A,RHOA,ARHGEF6,PAK2,ARHGAP35,ARHGAP1,ARHGEF10,ACTG1
G Beta Gamma Signaling	7.3E-01	2.37E-01	-4.707	GNA11,RACK1,KRAS,PRKAG1,SHC1,PAK1,AKT1,GNA15,PIK3CG,SOS1,GNG5,PRKD3,AKT2,NRAS,RRAS,GRB2,GNA12,GNG2,PRKAR2A,GNAQ,GNG10,GNAI3,PRKCI,PLCG2,PRKCD,ARHGEF6,PRKACA
Retinoic acid Mediated Apoptosis Signaling	7.3E-01	2.58E-01	-3.873	IFNG,CASP3,PARP2,APAF1,ZC3HAV1,TNFSF10,PARP12,TNKS2,RARG,PARP9,BID,CYCS,PARP11,RXRA,IFNAR1,PARP14
GDP-glucose Biosynthesis	7.26E-01	4E-01	NaN	HK2,PGM3,PGM1,PGM2
MSP-RON Signaling Pathway	7E-01	2.5E-01	NaN	IFNG,PIK3C2B,PIK3CA,IL3RA,GRB2,ACTB,PIK3R1,KLK14,JAK2,PIK3R4,KLK8,ITGAM,PIK3CG,IRS2,PIK3CB,FRS2,ACTG1,ATM
IL-7 Signaling Pathway	6.98E-01	2.42E-01	-1.789	IFNG,FOXO4,PIK3C2B,PIK3CA,AKT2,SLC2A1,GRB2,PIK3R1,BAX,BCL6,PIK3R4,PAX5,SHC1,AKT1,PIK3CG,SOS1,IRS2,PIK3CB,CDKN1B,GSK3B,FRS2,ATM
CCR3 Signaling in Eosinophils	6.85E-01	2.31E-01	-3.838	PIK3CA,PLCB2,Calm1 (includes others),PIK3R1,RACK1,KRAS,PIK3R4,PAK1,PIK3CG,IRS2,GNG5,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,PAK4,NRAS,RRAS,GRB2,GNG2,GNG10,ROCK1,GNAI3,PRKCI,PLA2G2D,RHOA,PRKCD,PAK2,PIK3CB
IL-9 Signaling	6.64E-01	2.67E-01	-2.309	PIK3C2B,SOCS3,PIK3CA,GRB2,PIK3CG,PIK3R1,PIK3CB,IRS2,STAT3,PIK3R4,FRS2,ATM
IL-12 Signaling and Production in Macrophages	6.48E-01	2.26E-01	NaN	MAP2K4,PIK3CA,IL12RB1,PIK3R1,PIK3R4,LYZ,IKBKG,AKT1,TGFB1,PIK3CG,IRS2,CHUK,NFKBIB,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,IFNG,AKT2,IL10,GRB2,MAPK8,IKBKE,IL12RB2,STAT4,FOS,PRKCI,PRKCD,PIK3CB,IRF8,RXRA,REL
Epithelial Adherens Junction Signaling	6.48E-01	2.26E-01	NaN	TUBA1B,TCF4,MYH9,TGFBR1,MYL6,ARPC1B,CTNNA1,BMPR2,CRK,KRAS,TUBB,PTEN,YES1,AKT1,ACTR3,MYL4,TUBB4A,TUBA1C,AKT2,NRAS,RRAS,ARPC5L,ACTB,TUBG1,TUBA4A,RAP1A,TUBA1A,ARPC1A,RHOA,FER,LEF1,ACTG1,ACVR2A
Thioredoxin Pathway	6.3E-01	4.29E-01	NaN	SELENOT,NXN,TXNRD2
Phosphatidylcholine Biosynthesis I	6.3E-01	4.29E-01	NaN	CEPT1,CHKA,CHKB
Glycoaminoglycan-protein Linkage Region Biosynthesis	6.3E-01	4.29E-01	NaN	B4GALT7,XYLT1,B3GAT3
Aspartate Degradation II	6.3E-01	4.29E-01	NaN	GOT1,MDH1,GOT2
Cdc42 Signaling	6.21E-01	2.22E-01	-2.400	CD247,MAP2K4,B2M,FGD3,H2-T24,RALA,MYL6,ARPC1B,CD3E,HLA-A,HLA-DQA1,EXOC6,HLA-DQB1,PARD6A,EXOC7,HLA-G,PAK1,DIAPH1,ACTR3,EXOC2,EXOC5,MYL4,GSK3B,EXOC3,HLA-F,ITK,PAK4,ARPC5L,MAPK8,CD3D,CD3G,FOS,PRKCI,ARPC1A,EXOC4,ARHGEF6,PAK2
eNOS Signaling	6.21E-01	2.21E-01	-2.959	PIK3CA,Calm1 (includes others),PIK3R1,Hspa1b,HSPA1A/HSPA1B,VEGFB,SLC7A1,HSPA5,PIK3R4,PRKAG1,VEGFA,CCNA2,HSPA4,AKT1,LPAR2,PIK3CG,PRKAA1,IRS2,FRS2,PRKD3,ATM,PIK3C2B,AQP7,AKT2,CASP3,GRB2,HSPA9,GNAQ,PRKAR2A,HSPA8,PRKCI,PRKCD,PLCG2,PRKACA,LPAR5,HSP90AA1,PIK3CB,ADCY7
Ephrin A Signaling	6.2E-01	2.5E-01	NaN	ROCK1,PIK3C2B,PIK3CA,PAK1,GRB2,RHOA,PIK3CG,PIK3R1,ADAM10,PIK3CB,IRS2,EPHA3,PIK3R4,FRS2,ATM
Glucose and Glucose-1-phosphate Degradation	6.15E-01	3.64E-01	NaN	HK2,PGM3,PGM1,PGM2
IL-22 Signaling	5.85E-01	2.92E-01	-1.890	MAP2K4,SOCS3,AKT2,AKT1,MAPK8,IL10RB,STAT3
Adipogenesis pathway	5.78E-01	2.24E-01	NaN	PPIP5K1,GTF2H2,BMPR2,MNAT1,HDAC6,AKT1,KAT2B,CDK5,TGFB1,BMPR1A,HDAC11,EZH2,GTF2H5,SMAD1,RPS6KB1,ATG5,ATG7,HAT1,CDK7,SAP30,BSCL2,ERCC2,SIN3A,SIRT2,HDAC3,KDM1A,SREBF1,GTF2H1,BMP7,RBBP4
Type II Diabetes Mellitus Signaling	5.76E-01	2.21E-01	-3.272	MAP2K4,SOCS3,PIK3CA,PIK3R1,SOCS6,SMPD1,PIK3R4,PRKAG1,SLC27A4,IKBKG,AKT1,PIK3CG,PRKAA1,IRS2,CHUK,NFKBIB,TNFRSF1B,FRS2,NSMAF,PRKD3,ATM,PIK3C2B,ACSL3,AKT2,GRB2,MAP3K1,MAPK8,IKBKE,NFKBID,PRKCI,PRKCD,PIK3CB,ADIPOR2,ACSL1
Pyrimidine Ribonucleotides De Novo Biosynthesis	5.75E-01	2.55E-01	NaN	NME1,CMPK2,NUDT16,NME2,CMPK1,CAD,BLM,UMPS,CTPS1,NUDT15,NME7,ENTPD7
Granzyme A Signaling	5.62E-01	3E-01	NaN	GZMA,SET,HIST1H1C,NME1,PRF1,APEX1
GNRH Signaling	5.53E-01	2.18E-01	-5.578	MAP2K4,PLCB2,Calm1 (includes others),GNA11,KRAS,PRKAG1,PAK1,CAMK2D,GNA15,CREB1,SOS1,GNG5,MAP2K1,PRKD3,MAP3K2,MAP3K9,PAK4,NRAS,RRAS,GRB2,EGR1,GNG2,MAP3K1,CREB3,MAPK8,GNAQ,PRKAR2A,FOS,GNAI3,MAP3K12,PRKCI,PRKCD,PAK2,PRKACA,ELK1,ADCY7
Chondroitin Sulfate Degradation (Metazoa)	5.48E-01	3.12E-01	NaN	TMEM2,GM2A,HEXA,HEXB,GALNS
Adenosine Nucleotides Degradation II	5.48E-01	3.12E-01	NaN	NT5C3B,NT5C3A,NT5E,XDH,NT5M
Vitamin-C Transport	5.48E-01	3.12E-01	NaN	SLC23A2,SLC2A1,SELENOT,NXN,TXNRD2
Pentose Phosphate Pathway (Oxidative Branch)	5.48E-01	5E-01	NaN	PGD,G6PD
Heme Degradation	5.48E-01	5E-01	NaN	HMOX1,BLVRA
PRPP Biosynthesis I	5.48E-01	5E-01	NaN	PRPS2,PRPS1
Glutathione Redox Reactions II	5.48E-01	5E-01	NaN	GSR,TXNDC12
Glycerol-3-phosphate Shuttle	5.48E-01	5E-01	NaN	GPD2,GPD1L
L-cysteine Degradation I	5.48E-01	5E-01	NaN	GOT1,GOT2
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	5.48E-01	5E-01	NaN	EHHADH,ECI1
Inhibition of Angiogenesis by TSP1	5.43E-01	2.65E-01	-2.828	VEGFA,MAP2K4,AKT2,TGFBR1,AKT1,CASP3,THBS1,TGFB1,MAPK8
Aryl Hydrocarbon Receptor Signaling	5.43E-01	2.2E-01	-1.177	NQO2,POLA1,CDK4,RARG,CCNA2,TGFB1,NEDD8,NFE2L2,FASLG,AHR,ALDH7A1,ATM,GSTM1,RBL2,CCNE2,TFDP1,APAF1,MAPK8,MDM2,BAX,NCOA3,AIP,FOS,CCNE1,CCND2,CDKN1A,HSP90AA1,ATR,CDKN1B,RXRA,GSTP1
Melatonin Signaling	5.43E-01	2.36E-01	-3.000	MAP2K4,PLCB2,Calm1 (includes others),PRKAR2A,GNAQ,PLCL2,PRKAG1,BRAF,GNAI3,PRKCI,CAMK2D,RORA,PLCG2,PRKCD,PRKACA,PRKD3,MAP2K1
Role of MAPK Signaling in the Pathogenesis of Influenza	5.43E-01	2.36E-01	NaN	PNPLA8,PAFAH1B2,PLA2G16,MAP2K4,IFNG,AKT2,NRAS,CASP3,RRAS,MAPK8,KRAS,BAX,PLBD1,AKT1,PLA2G2D,PTGS2,MAP2K1
Cleavage and Polyadenylation of Pre-mRNA	5.34E-01	3.33E-01	NaN	PAPOLA,CSTF1,NUDT21,CSTF3
BER pathway	5.34E-01	3.33E-01	NaN	PNKP,POLG,APEX1,POLB
TGF-β Signaling	5.33E-01	2.3E-01	-3.300	MAP2K4,TGFBR1,NRAS,RRAS,GRB2,MAPK8,BMPR2,KRAS,TGIF1,FOS,IRF7,TGFB1,BMPR1A,SOS1,BMP7,MAP4K1,SMURF2,SMAD1,MAP2K1,ACVR2A
Salvage Pathways of Pyrimidine Deoxyribonucleotides	5.26E-01	3.75E-01	NaN	APOBEC3B,TK2,TK1
Synaptic Long Term Potentiation	5.25E-01	2.21E-01	-4.041	PLCB2,Calm1 (includes others),GNA11,KRAS,PRKAG1,CAMK2D,GNA15,PPP3CB,PPP3R1,CREB1,MAP2K1,PRKD3,GRIN1,NRAS,RRAS,CREB3,GNAQ,PRKAR2A,PPP1R11,PPP3CC,PLCL2,RAP1A,GRM7,PRKCI,PLCG2,PRKCD,PRKACA
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	5.25E-01	2.21E-01	-3.838	PIK3CA,LIF,PIK3R1,BMPR2,KRAS,JAK2,PIK3R4,SHC1,AKT1,RIF1,BMPR1A,PIK3CG,SOS1,IRS2,GSK3B,SMAD1,FRS2,MAP2K1,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,STAT3,BMP7,PIK3CB
Neuroinflammation Signaling Pathway	5.1E-01	2.06E-01	-5.166	MAP2K4,Naip1 (includes others),TGFBR1,NFATC3,PIK3R1,NCSTN,IDE,HLA-DQB1,PIK3R4,IKBKG,TGFB1,PIK3CG,PPP3R1,TLR1,CYBB,IRS2,GSK3B,FRS2,FASLG,ATM,PIK3C2B,AKT2,CASP3,CD200R1,CREB3,PPP3CC,IRF7,PLA2G2D,PLCG2,SYK,APH1A,B2M,PIK3CA,HLA-A,PYCARD,HLA-DQA1,BMPR2,MFGE8,JAK2,HMOX1,AKT1,PPP3CB,TICAM1,CREB1,CASP1,CHUK,NFE2L2,IFNG,GRIN1,IL10,GRB2,GLS,IFNGR2,MAPK8,IKBKE,CSF1R,FOS,RIPK1,PIK3CB,PTGS2,TIRAP,P2RX7,ACVR2A,BIRC2
TR/RXR Activation	5.06E-01	2.24E-01	NaN	PIK3C2B,PIK3CA,AKT2,SLC2A1,GRB2,PIK3R1,MDM2,PIK3R4,NCOA3,NCOA4,KLF9,LDLR,AKT1,HDAC3,SREBF1,PDE3B,PIK3CG,IRS2,PIK3CB,RXRA,FRS2,ATM
Antioxidant Action of Vitamin C	5.06E-01	2.22E-01	3.900	PNPLA8,MAP2K4,PAFAH1B2,PLA2G16,PLD2,PLCB2,SLC2A1,MAPK8,IKBKE,PLCL2,JAK2,PLBD1,PLD4,SLC23A2,HMOX1,NFKBID,IKBKG,PLA2G2D,SELENOT,PLCG2,CHUK,NFKBIB,NXN,TXNRD2
HIF1α Signaling	5.06E-01	2.2E-01	NaN	PIK3CA,PIK3R1,VEGFB,KRAS,NAA10,PIK3R4,ELOC,LDHB,VEGFA,AKT1,PIK3CG,IRS2,FRS2,APEX1,ATM,PIK3C2B,AKT2,NRAS,SLC2A1,RRAS,GRB2,MAPK8,MDM2,HSP90AA1,PIK3CB,VHL
Methylthiopropionate Biosynthesis	5.06E-01	1E00	NaN	ADI1
Acyl Carrier Protein Metabolism	5.06E-01	1E00	NaN	AASDHPPT
Acetyl-CoA Biosynthesis III (from Citrate)	5.06E-01	1E00	NaN	ACLY
Glutamate Removal from Folates	5.06E-01	1E00	NaN	GGH
Sorbitol Degradation I	5.06E-01	1E00	NaN	SORD
Asparagine Biosynthesis I	5.06E-01	1E00	NaN	ASNS
UDP-N-acetyl-D-galactosamine Biosynthesis I	5.06E-01	1E00	NaN	GALE
Antiproliferative Role of TOB in T Cell Signaling	4.98E-01	2.69E-01	NaN	CCNA2,CCNE1,CCNE2,TGFBR1,PABPC4,TGFB1,CDKN1B
NAD Salvage Pathway II	4.98E-01	2.69E-01	NaN	NT5C3B,NT5C3A,NT5E,NT5M,ACP1,Acp5,PXYLP1
Agrin Interactions at Neuromuscular Junction	4.98E-01	2.32E-01	-3.357	MAP2K4,PAK4,NRAS,RRAS,ARHGEF7,ACTB,MAPK8,NRG4,KRAS,LAMC1,PAK1,PAK2,ARHGEF6,GABPA,ITGA1,ACTG1
γ-linolenate Biosynthesis II (Animals)	4.98E-01	2.94E-01	NaN	ACSL3,CYB5A,SLC27A4,ACSL1,FADS1
Choline Biosynthesis III	4.7E-01	3.08E-01	NaN	PLD4,HMOX1,PLD2,CEPT1
Cholesterol Biosynthesis I	4.7E-01	3.08E-01	NaN	DHCR24,MSMO1,SC5D,CYP51A1
NAD Phosphorylation and Dephosphorylation	4.7E-01	3.08E-01	NaN	ACP1,Acp5,NADK,PXYLP1
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	4.7E-01	3.08E-01	NaN	DHCR24,MSMO1,SC5D,CYP51A1
Cholesterol Biosynthesis III (via Desmosterol)	4.7E-01	3.08E-01	NaN	DHCR24,MSMO1,SC5D,CYP51A1
Neuropathic Pain Signaling In Dorsal Horn Neurons	4.66E-01	2.17E-01	-4.200	PIK3C2B,GRIN1,PLCB2,PIK3CA,GRB2,PIK3R1,PRKAR2A,PLCL2,PIK3R4,PRKAG1,GRM7,FOS,PRKCI,CAMK2D,PRKCD,PIK3CG,PLCG2,CREB1,PRKACA,IRS2,PIK3CB,ELK1,PRKD3,FRS2,ATM
Sphingosine and Sphingosine-1-phosphate Metabolism	4.42E-01	3.33E-01	NaN	NAAA,SGPP1,ASAH1
Sucrose Degradation V (Mammalian)	4.42E-01	3.33E-01	NaN	ALDOA,GALM,TKFC
Chemokine Signaling	4.39E-01	2.25E-01	-3.500	PLCB2,CCR5,NRAS,Calm1 (includes others),RRAS,CXCR4,MAPK8,GNAQ,KRAS,GNAI3,FOS,CAMK2D,PLCG2,PIK3CG,RHOA,MAP2K1
Toll-like Receptor Signaling	4.39E-01	2.24E-01	-1.155	MAP2K4,SIGIRR,MAP3K1,TAB2,MAPK8,Ubb,TNFAIP3,FOS,IKBKG,TICAM1,TRAF4,TLR1,EIF2AK2,CHUK,UBC,TIRAP,ELK1
G Protein Signaling Mediated by Tubby	4.39E-01	2.5E-01	NaN	PLCB2,PLCG2,GNG2,RACK1,GNAQ,JAK2,GNG5,GNG10
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.39E-01	2.02E-01	NaN	MAP2K4,SOCS3,PLCB2,NFATC3,PIK3R1,KRAS,PIK3R4,CEBPG,IL18R1,VEGFA,IKBKG,CAMK2D,TGFB1,PIK3CG,PPP3R1,TLR1,TRAF4,IRS2,GSK3B,NFKBIB,PRKD3,FRS2,IL1RAP,ATM,PIK3C2B,AKT2,MIF,RRAS,CREB3,PLCL2,STAT3,PPP3CC,NFKBID,RHOA,PLCG2,PRKCD,LEF1,TCF4,PIK3CA,Calm1 (includes others),VEGFB,JAK2,NLK,AKT1,PPP3CB,F2RL1,CREB1,CHUK,TNFRSF1B,MAP2K1,NRAS,IL10,GRB2,GNAQ,IKBKE,IL16,ROCK1,FOS,RIPK1,PRKCI,PIK3CB,LRP1,RYK
Dendritic Cell Maturation	4.38E-01	2.07E-01	-5.096	MAP2K4,B2M,PIK3CA,PLCB2,HLA-A,PIK3R1,HLA-DQA1,JAK2,HLA-DQB1,FCGR2B,PIK3R4,IKBKG,AKT1,PIK3CG,CREB1,LY75,IRS2,CHUK,NFKBIB,TNFRSF1B,FRS2,ATM,PIK3C2B,AKT2,IL10,FCGR2A,GRB2,CREB3,MAPK8,IKBKE,PLCL2,STAT4,NFKBID,PLCG2,FSCN1,STAT2,PIK3CB,IRF8,IFNAR1,CCR7
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	4.33E-01	4E-01	NaN	MTHFD2L,GART
Eumelanin Biosynthesis	4.33E-01	4E-01	NaN	MIF,DDT
2-oxobutanoate Degradation I	4.33E-01	4E-01	NaN	DLD,MUT
nNOS Signaling in Neurons	4.23E-01	2.34E-01	-1.342	GRIN1,CAPNS1,PRKCI,Calm1 (includes others),PPP3CB,CAPN1,PPP3R1,PRKCD,DLG2,PPP3CC,PRKD3
Phenylalanine Degradation IV (Mammalian, via Side Chain)	4.04E-01	2.86E-01	NaN	AASDH,GOT1,GOT2,ACSF3
γ-glutamyl Cycle	4.04E-01	2.86E-01	NaN	OPLAH,GCLC,GGACT,GGT7
MIF Regulation of Innate Immunity	3.89E-01	2.33E-01	-2.530	MAP2K4,NFKBID,FOS,MIF,IKBKG,PLA2G2D,MAPK8,PTGS2,CD74,NFKBIB
Ephrin B Signaling	3.87E-01	2.19E-01	-0.816	CXCR4,GNA12,GNG2,GNA11,RACK1,GNAQ,ACP1,GNG10,ROCK1,GNAI3,PAK1,GNA15,ABI1,RHOA,CAP1,GNG5
CDK5 Signaling	3.7E-01	2.12E-01	-3.710	NRAS,PPP2CA,RRAS,PPP2R2A,EGR1,PPP2R5B,PRKAR2A,MAPK8,PPP1R11,KRAS,PRKAG1,PPP2R5A,CDK5R1,FOSB,LAMC1,CDK5,CAPN1,PRKACA,PPP2R5E,ADCY7,MAP2K1
Phagosome Formation	3.66E-01	2.08E-01	NaN	PIK3CA,PLCB2,PIK3R1,INPPL1,FCGR2B,PIK3R4,RHOH,RHOB,PIK3CG,TLR1,IRS2,FRS2,PRKD3,ATM,PIK3C2B,RHOC,GRB2,FCGR2A,PLCL2,RHOQ,ITGAM,PRKCI,SYK,PLCG2,RHOA,PRKCD,PIK3CB
Role of JAK2 in Hormone-like Cytokine Signaling	3.57E-01	2.35E-01	NaN	SHC1,SOCS3,PTPN6,SOCS6,IRS2,JAK2,STAT3,HLTF
PPAR Signaling	3.44E-01	2.11E-01	3.578	NRAS,RRAS,GRB2,NR1H3,IKBKE,KRAS,AIP,SHC1,NFKBID,FOS,IKBKG,SOS1,HSP90AA1,CHUK,PTGS2,RXRA,NFKBIB,TNFRSF1B,IL1RAP,MAP2K1
Glycine Cleavage Complex	3.25E-01	3.33E-01	NaN	GCSH,DLD
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	3.25E-01	3.33E-01	NaN	SEPHS2,SEPHS1
Zymosterol Biosynthesis	3.25E-01	3.33E-01	NaN	MSMO1,CYP51A1
GDP-mannose Biosynthesis	3.25E-01	3.33E-01	NaN	GMPPB,PMM2
iNOS Signaling	3.25E-01	2.22E-01	-3.000	NFKBID,IFNG,FOS,IKBKG,Calm1 (includes others),IFNGR2,IKBKE,JAK2,CHUK,NFKBIB
Pyrimidine Ribonucleotides Interconversion	3.25E-01	2.22E-01	NaN	NME1,CMPK2,NUDT16,NME2,CMPK1,BLM,CTPS1,NUDT15,NME7,ENTPD7
Thyroid Cancer Signaling	3.25E-01	2.25E-01	NaN	BRAF,SHC1,TCF4,NRAS,RRAS,LEF1,KRAS,RXRA,MAP2K1
IL-17A Signaling in Fibroblasts	3.25E-01	2.29E-01	NaN	NFKBID,FOS,IKBKG,IKBKE,CHUK,GSK3B,NFKBIZ,NFKBIB
Actin Cytoskeleton Signaling	3.19E-01	1.98E-01	-5.217	ABI2,FGD3,PIK3CA,MYH9,MYL6,ARPC1B,ARHGEF7,PIK3R1,PIKFYVE,CRK,KRAS,PIK3R4,SLC9A1,SHC1,PAK1,DIAPH1,ACTR3,PIK3CG,SOS1,MYL4,IRS2,MAP2K1,FRS2,MATK,ATM,PIK3C2B,PAK4,ARHGEF4,NRAS,ARHGEF12,RRAS,ARPC5L,GRB2,CRKL,GNA12,ACTB,BRK1,ROCK1,ARPC1A,RHOA,ARHGEF6,PAK2,ARHGAP35,PIK3CB,ACTG1
BMP signaling pathway	3.15E-01	2.11E-01	-3.500	MAP2K4,NRAS,RRAS,GRB2,PRKAR2A,MAPK8,BMPR2,KRAS,PRKAG1,BMPR1A,CREB1,SOS1,PRKACA,BMP7,MAP2K1,SMAD1
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.14E-01	1.97E-01	NaN	MAP2K4,TCF4,Naip1 (includes others),ADAM17,PIK3CA,Calm1 (includes others),NFATC3,PIK3R1,TAB2,BMPR2,PIK3R4,IL18R1,IKBKG,AKT1,PPP3CB,BMPR1A,TGFB1,PPP3R1,PIK3CG,IRS2,CHUK,GSK3B,TNFRSF1B,NFKBIB,SMAD1,FRS2,IL1RAP,ATM,NAIP,PIK3C2B,IFNG,AKT2,SPP1,IL10,GRB2,MAPK8,IKBKE,PPP3CC,CSF1R,NFKBID,FOS,LEF1,PIK3CB,BMP7,LRP1,BIRC2
Pentose Phosphate Pathway	3.14E-01	2.73E-01	NaN	PGD,RPE,G6PD
HIPPO signaling	3.14E-01	2.07E-01	0.832	YWHAG,PPP2CA,PPP2R2A,PPP2R5B,DLG2,PPP1R11,STK3,TP53BP2,PPP2R5A,ITCH,WWC1,BTRC,TAZ,MOB1A,PPP2R5E,SMAD1,LATS1,RASSF1
Asparagine Degradation I	3.14E-01	5E-01	NaN	ASRGL1
Dolichol and Dolichyl Phosphate Biosynthesis	3.14E-01	5E-01	NaN	DHDDS
Lipoate Biosynthesis and Incorporation II	3.14E-01	5E-01	NaN	LIAS
All-trans-decaprenyl Diphosphate Biosynthesis	3.14E-01	5E-01	NaN	PDSS2
Choline Degradation I	3.14E-01	5E-01	NaN	ALDH7A1
Flavin Biosynthesis IV (Mammalian)	3.14E-01	5E-01	NaN	RFK
Palmitate Biosynthesis I (Animals)	3.14E-01	5E-01	NaN	OXSM
L-cysteine Degradation III	3.14E-01	5E-01	NaN	GOT1
GDP-L-fucose Biosynthesis II (from L-fucose)	3.14E-01	5E-01	NaN	FPGT
Anandamide Degradation	3.14E-01	5E-01	NaN	FAAH
Fatty Acid Biosynthesis Initiation II	3.14E-01	5E-01	NaN	OXSM
Putrescine Biosynthesis III	3.14E-01	5E-01	NaN	ODC1
Formaldehyde Oxidation II (Glutathione-dependent)	3.14E-01	5E-01	NaN	ESD
Glutamine Degradation I	3.14E-01	5E-01	NaN	GLS
Glutamate Biosynthesis II	3.14E-01	5E-01	NaN	GLUD1
Glutamate Degradation X	3.14E-01	5E-01	NaN	GLUD1
p38 MAPK Signaling	2.83E-01	2E-01	-3.273	MAP2K4,RPS6KB1,TGFBR1,ATF1,CREB3,TAB2,RPS6KA3,MAPKAPK5,RPS6KA5,H3F3A/H3F3B,PLA2G2D,DUSP1,TGFB1,MEF2D,CREB1,RPS6KB2,RPS6KA4,MEF2C,MAP4K1,EEF2K,ELK1,TNFRSF1B,IL1RAP,FASLG
