© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
deferoxamine	 	chemical drug	Activated	2.321	bias	4.59E-04	BHLHE40,BNIP3,CACNA1E,CACNB4,CDH1,CDKN2A,DUSP1,DUSP5,EGR1,FOS,GADD45B,HSPA1A/HSPA1B,ISG20,MT-CYB,NFIL3,NR4A2,PLA2G4A,PPARG,RGS1,VEGFA	243 (17)	
thiazolidinedione	 	chemical drug	Activated	2.213	bias	8.22E-05	IRS1,IRS2,NR4A1,NR4A2,NR4A3,TNF	255 (18)	
tetrachlorodibenzodioxin	 	chemical toxicant	Activated	2.248	 	3.67E-02	ABCG2,ACTN1,AHR,BCAT1,BLNK,CDKN2A,CTLA4,CYP17A1,ERBB2,ESR1,ETS2,FOS,GRHPR,HSPA1A/HSPA1B,HSPA8,IFNG,IRS1,JAG1,MARCO,ODC1,SLC40A1,TGM1,TNF,VEGFA	 	
trovafloxacin	 	chemical drug	Activated	2.714	bias	1.68E-04	BHLHE40,DNAJB2,ETS2,FOS,HLA-A,ISG20,JUNB,SOCS3,TGIF1,TNFAIP3,VEGFA	217 (11)	
resveratrol	 	chemical drug	Activated	2.096	 	5.22E-03	AIF1,ATF3,CD69,CDH1,CDKN2A,CYP17A1,EGR1,EPHA1,ESR1,FOS,FOSL2,HSPA5,IL18,ITGA2B,JAG1,KLK3,MMP9,MT-CO1,PPARG,PPP1R15A,TGM1,TNF,ULBP1	307 (21)	
GnRH-A	 	chemical reagent	Activated	4.169	 	1.34E-09	ATF3,CREM,EGR1,FOS,FOSB,GADD45B,GCNT2,JUNB,KLF4,KLF6,NFKBIZ,NR4A1,PER1,PPP1R15A,RGS2,SERPINB9,SKIL,SNN	213 (19)	
thapsigargin	 	chemical toxicant	Activated	2.715	bias	2.03E-04	Abcb1b,ABCG2,ATF3,CD80,CREM,EGR1,ERBB2,FOS,GADD45B,HSPA5,KLF4,MLF1,MMP9,NFIL3,NR4A1,NR4A3,PPP1R15A,PRNP,TNF	231 (20)	
forskolin	 	chemical toxicant	Activated	2.461	bias	1.38E-07	ACTG2,ACTN1,ATF3,BHLHE40,CCR8,CD200,CD80,CD8A,CDK14,CDKN2A,CHGB,COL10A1,CREM,CXCR4,CYP17A1,DUSP1,EGR1,ESM1,ESR1,FOS,FOSB,FOSL2,GAB2,GADD45B,GALNT14,GSTM5,GTSE1,HPGD,HSPA1A/HSPA1B,ID3,IFNG,IGF1R,IRS2,ITGA3,JUNB,KCNJ13,KLF4,KLK3,LARGE1,MMP9,NAMPT,NFIL3,NR4A1,NR4A2,NR4A3,ODC1,PENK,PER1,PLCL1,RARB,RGS2,S1PR3,Sik1,SLC7A11,SRXN1,TJP1,TNF,TNFAIP3,VCAN,VEGFA	232 (19)	
nicotine	 	chemical drug	Activated	2.086	bias	2.01E-04	AHR,ATP6V0D2,CD40,CD80,CHGB,CHRM3,DNASE1,EGR1,FOS,GCH1,HSPA8,JUNB,KCNB1,MMP9,PENK,RPSA,SERPINF1,TGM1,TNF,TTR	263 (19)	
cocaine	 	chemical drug	Activated	3.630	bias	2.13E-03	BHLHE40,DUSP1,DUSP5,EGR1,FOS,FOSB,GADD45B,IRS2,JUNB,KCNC1,NR4A1,NR4A3,OAS1,PER1,Sik1,SNCA,TNF,VEGFA	258 (19)	
bicuculline	 	chemical - endogenous non-mammalian	Activated	3.377	bias	7.57E-07	ATF3,DUSP1,EGR1,FOS,FOSB,GADD45B,HSPA8,JUNB,KLF4,MAFF,NR4A1,NR4A2	272 (22)	
ionomycin	 	chemical reagent	Activated	3.509	bias	7.29E-06	CD69,CTLA4,DUSP1,DUSP2,EGR1,ETS2,FOS,FOSB,GCH1,GRK3,HSPA5,IFNG,MMP9,NFIL3,NR4A1,NR4A2,PAX5,POU2AF1,PPARG,RGS2,SLC3A2,TNF	240 (19)	
10E,12Z-octadecadienoic acid	 	chemical - endogenous mammalian	Activated	2.022	 	8.22E-05	ATF3,EBF1,NAMPT,NOTCH4,NR4A1,NR4A2,NR4A3,PPARG,PPP1R15A,SCD,TNF	226 (15)	
carrageenan	 	chemical - endogenous non-mammalian	Activated	2.364	bias	4.88E-04	EGR1,ESR1,FOS,FOSB,FOSL2,JUNB,TNF,VEGFA	251 (17)	
phorbol myristate acetate	 	chemical drug	Activated	2.235	bias	1.69E-05	ANXA1,C3,CCR3,CD69,CDH1,CDKN2A,CIITA,CR2,CREM,CTLA4,CXCR4,CYP17A1,DUSP1,DUSP2,DUSP5,EGR1,EGR3,ERBB2,ESR1,ETS2,FFAR2,FOS,FOSB,FOSL2,GPR83,HSPA5,ID3,IFNG,IL17C,IL18,IRAK3,ITGA2B,ITGAD,JUNB,KCNJ10,KLF4,KLF6,KLK3,LIPE,LYRM2,MARS2,MMP9,MT-CO1,NEU3,NFIL3,NR4A1,NR4A2,OAS1,ODC1,PAX5,PER1,POU2AF1,PPARG,PPP1R15A,PRKCG,PRNP,PTK2,RARB,RGS1,RGS2,SBSN,SERPINB9,SKAP2,SKIDA1,SLC11A1,SLC7A11,SLPI,SOCS3,SRXN1,SUSD4,TEAD2,TGM1,TJP1,TLR8,TNF,TNFAIP3,TNFRSF8,VCAN,VEGFA,VIPR1	295 (19)	
25-hydroxycholesterol	 	chemical reagent	Activated	3.391	 	1.87E-05	ATF3,FOS,FOSB,FOSL2,HSPA5,JUNB,MAFF,NR4A1,NR4A2,NR4A3,PIK3R3,SCD	252 (18)	
Ca2+	 	chemical - endogenous mammalian	Activated	2.746	bias	5.22E-08	AHR,ATF3,CD19,CD80,CDH1,CHGB,CREM,CXCR4,DNASE1L3,DUSP1,EGR1,FOS,FOSL2,HSPA5,ID3,IFNG,IGF1R,IRS2,ITGA3,JUNB,KLF4,MCAM,MMP9,NR4A1,NR4A3,ODC1,PER1,PPARG,SBSN,TGM1,TIMP2,TNF,VEGFA	257 (19)	
arsenite	 	chemical toxicant	Activated	2.391	bias	2.74E-03	AHR,CDK14,DUSP1,EGR1,FHIT,FOS,HSPA1A/HSPA1B,Hspa1b,MAFF,NR4A1,SLC38A2,VEGFA	254 (22)	
lysophosphatidic acid	 	chemical - other	 	1.180	bias	1.63E-04	DUSP1,EGR1,FOS,IL15,JUNB,LIPE,MMP9,PPARG,PPP1R3B,PRKCG,S1PR3,TNF,VEGFA	270 (23)	
D-glucosaminylphosphatidylinositol	 	chemical - endogenous mammalian	 	 	 	4.38E-02	PRNP	 	
platelet activating factor	 	chemical - endogenous mammalian	 	0.663	bias	8.73E-05	CD69,CDH1,EGR1,FOS,MMP9,NR4A1,PLA2G7,TIMP2,TNF,VEGFA	262 (22)	
sphingosylphosphocholine	 	chemical - endogenous non-mammalian	 	 	 	4.51E-02	FOS,TGM1	 	
tributyrin	 	chemical drug	 	1.066	bias	2.02E-03	ATF3,CD274,CXCR4,DUSP1,HSPA5,ID3,SAMD4A,STYK1,TNFAIP3	 	
15-deoxy-delta-12,14 -PGJ 2	 	chemical - endogenous non-mammalian	 	0.808	 	6.14E-03	CD200,CIITA,EGR1,EHF,ESR1,FOS,IFNG,KLF4,KLK3,MMP9,PPARG,RARB,SOCS3,TGIF1,TNF,VEGFA	255 (21)	
16,16-dimethylprostaglandin E2	 	chemical - endogenous mammalian	 	 	 	3.48E-02	FOS,TNF	 	
(+)-fluprostenol	 	chemical drug	 	 	 	1.76E-02	NR4A2,PPARG	 	
misoprostol	 	chemical drug	 	0.447	bias	4.66E-04	Abcb1b,ABCG2,IFNG,SOCS3,TNF	199 (19)	
dinoprost	 	chemical - endogenous mammalian	 	1.380	bias	4.56E-04	ESR1,FOS,FOSL2,HSPA1A/HSPA1B,ID3,MMP9,NFIL3,NR4A1,NR4A2,PLA2G4A,VEGFA	286 (19)	
12(S)-hydroxyeicosatetraenoic acid	 	chemical - endogenous non-mammalian	 	 	 	4.51E-02	PPARG,TNF	 	
leukotriene C4	 	chemical - endogenous mammalian	 	1.997	bias	3.39E-03	EGR1,EGR3,FOS,TNF	207 (15)	
ATP-gamma-S	 	chemical reagent	 	 	 	6.39E-04	C3,CD40,CD69,CD8A,CREM,CXCR4,IL15,IL1R2,MMP9,TNF	238 (18)	
CpG ODN 2216	 	chemical reagent	 	0.313	 	2.54E-02	CD69,CD80,IFNG,TNF	 	
cyclic AMP	 	chemical - endogenous mammalian	 	0.261	bias	4.99E-04	CD80,CREM,CTLA4,CYP17A1,EGR1,ERBB2,FOS,FOSL2,GCH1,IFNG,IL15,JUNB,KCNJ13,MMP9,NR4A1,NR4A2,ODC1,PENK,PER1,PLA2G4A,PRNP,RARB,SOCS3,TNF	298 (20)	
5-N-ethylcarboxamido adenosine	 	chemical reagent	 	0.820	 	1.26E-10	BHLHE40,CIITA,CREM,CSF2RB,EGR1,IFNG,JUNB,KCNA2,KLF6,NFIL3,NR4A1,NR4A2,NR4A3,ODC1,PLK2,RGS2,SOCS3,SRXN1,TNF,TNS2,UBC,VCAN,VEGFA	247 (18)	
N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine	 	chemical drug	 	 	 	3.60E-02	ESR1,FOS,RGS2	 	
adenosine	 	chemical - endogenous mammalian	 	-0.278	 	5.17E-04	CD69,CD80,CXCR4,FOS,HSPA5,NR4A2,SOCS3,TNF,VEGFA	219 (19)	
N(6)-methyl-2'-deoxyadenosine	 	chemical reagent	 	 	 	4.38E-02	SOCS3	 	
xanthine	 	chemical - endogenous mammalian	 	-0.434	bias	2.30E-04	CD69,CXCR4,DUSP1,ID3,TIMP2	188 (12)	
3-methyladenine	 	chemical toxicant	 	0.762	 	1.05E-02	CD40,CD80,HSPA5,SNCA,TNF	 	
8-cyclopentyl-1,3-dipropylxanthine	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
acyclovir	 	chemical drug	 	 	 	4.38E-02	DUSP2	 	
isobutylmethylxanthine	 	chemical toxicant	 	-1.141	bias	1.91E-03	ALDH3B1,COL10A1,CREM,CXCR4,CYP17A1,EGR1,FOS,IFNG,IGF1R,JUNB,KLF4,NR1H3,PPARG,SCD,TIMP2	266 (21)	
pirinixic acid	 	chemical toxicant	 	-1.467	bias	3.81E-03	ABCG2,BNIP3,C3,CD200,Cd24a,CD5L,CDKN2A,CEACAM1,DNAJB2,ENDOG,GADD45B,GPR22,GRHPR,HSP90AA1,Hspa1b,IFNG,JUNB,LGALS4,MGST2,MMP9,MTTP,MYBL2,NR1H3,NUDT7,PIK3R3,PLIN4,PPARG,SC5D,SCD,SLC27A1,TNF,VEGFA	219 (18)	
PP1	 	chemical - kinase inhibitor	 	-0.478	bias	2.00E-04	CDH1,CXCR4,ERBB2,ESR1,FOS,ODC1,TJP1,TNF	241 (21)	
moxonidine	 	chemical drug	 	 	 	2.13E-02	ANPEP,IRS1,KL	 	
PP2/AG1879 tyrosine kinase inhibitor	 	chemical - kinase inhibitor	 	0.184	bias	4.05E-02	CDH1,DUSP1,FOS,IGF1R,PER1,TJP1,VEGFA	 	
risperidone	 	chemical drug	 	1.940	 	1.67E-02	FOS,NR4A1,NR4A2,NR4A3	 	
S-nitroso-N-acetyl-DL-penicillamine	 	chemical reagent	 	0.371	 	4.06E-02	BNIP3,IFNG,IL18,TNF	 	
L-tryptophan	 	chemical - endogenous mammalian	 	-1.000	 	1.43E-02	CD40,CD80,SLC7A11,TNF	 	
glycine	 	chemical - endogenous mammalian	 	-0.293	 	6.85E-03	FOS,ODC1,TNF,VEGFA	251 (21)	
L-methionine	 	chemical - endogenous mammalian	 	 	 	3.01E-02	EEF1A1,ETS2,FANCL,GADD45B,HSPA5,MTTP	 	
L-histidine	 	chemical - endogenous mammalian	 	-1.956	bias	1.37E-03	ATF3,EGR1,PPP1R15A,SLC38A2	154 (10)	
L-glutamic acid	 	chemical - endogenous mammalian	 	1.974	bias	1.40E-02	EGR1,FOS,FOSB,GADD45B,IL18,JUNB,NFIL3,PER1,SLC27A1,TNF	 	
glutamine	 	chemical - endogenous mammalian	 	0.847	bias	1.57E-05	ADA,ATF5,BCAT1,DUSP1,FOS,HSPA1A/HSPA1B,HSPA5,IFNG,IL15,JUNB,KLF4,NR4A1,SRSF2,TNF,VEGFA	297 (25)	
monophosphoryl lipid A	 	chemical drug	 	 	 	2.57E-02	CD80,IFNG,TNF	 	
E. coli lipopolysaccharide	 	chemical - endogenous non-mammalian	 	-0.743	bias	8.00E-03	CD40,CD80,IFNG,IL15,IL18,MMP9,SOCS3,TNF	198 (19)	
lipid A	 	chemical toxicant	 	-0.670	bias	4.24E-02	C3,CD40,IFIT1B,MARCO,TNF	 	
E. coli B4 lipopolysaccharide	 	chemical toxicant	 	1.100	bias	2.23E-06	ANXA1,CD274,CD40,CD80,ESR1,ETS2,F5,FOSB,Gm4951,HLA-A,IFIT1B,IFNG,IL15,IRAK3,KL,KMO,LILRB3,PABPC1L,PLA2G4A,RAB7B,RTP4,SNCA,SOCS3,TEX15,TNF,TNFAIP3,TNFRSF8,TNFSF4,TRADD,TTR,ZBP1	201 (17)	
pentosan polysulfate	 	chemical drug	 	 	 	5.59E-03	MMP9,PRNP	 	
hyaluronic acid	 	chemical - endogenous mammalian	 	-0.753	bias	1.24E-04	CD40,CD80,CXCR4,ERBB2,FOS,IRAK3,LY96,MMP9,NR4A1,NR4A2,PPARG,SOCS3,TIMP2,TNF,TNFAIP3	268 (15)	
heparin	 	chemical - endogenous mammalian	 	-0.168	 	1.23E-02	CD40,CD80,DUSP1,FOS,MMP9,MT-CO1,TFPI,VEGFA	 	
dextran sulfate	 	chemical drug	 	0.635	bias	5.77E-05	ADA,AHR,C3,CALCB,CD40,CD80,CENPH,DCLRE1A,DSCC1,FANCA,FANCL,GSTM5,ID3,IFIT1B,IFNG,IGF1R,IL18,LY96,MMP9,PROZ,SOCS3,TIMP2,TJP1,TNF,VEGFA	231 (15)	
peptidoglycan	 	chemical - endogenous non-mammalian	 	1.334	bias	2.38E-05	CCR8,CD200,CD274,CD40,CD69,CD80,CXCR4,DUSP1,EGR1,FOS,IFNG,IL18,JUNB,POU2AF1,Tlr13,TNF	192 (16)	
nystatin	 	chemical drug	 	 	 	2.13E-02	CD40,CD80,TNF	 	
saikosaponin A	 	chemical reagent	 	 	 	3.98E-03	CDKN2A,FOS,JUNB	194 (13)	
puromycin	 	chemical - endogenous non-mammalian	 	0.152	 	1.01E-02	CD40,HSPA5,SKIL,VEGFA	 	
etoposide	 	chemical drug	 	-0.657	bias	7.47E-04	ATF3,BCL2L14,CD274,CD40,CD80,CDKN2A,DUSP1,EEF1A1,FANCA,IFNG,MT-CO2,NR4A1,PFKM,PIDD1,PIK3R3,TNF,TNFAIP3,TRADD	202 (16)	
p38 Sapk	 	group	 	 	 	1.76E-02	CD80,CDKN2A	 	
roxithromycin	 	chemical drug	 	 	 	2.56E-02	IFNG,TNF	 	
cortisone acetate	 	chemical drug	 	 	 	1.76E-02	IFNG,TNF	 	
7beta-hydroxycholesterol	 	chemical - endogenous mammalian	 	 	 	1.92E-03	NR4A1,NR4A2	 	
2-methoxyestradiol	 	chemical - endogenous mammalian	 	-0.762	 	3.89E-02	ATF3,CXCR4,IFNG,SPON1,TNF	 	
17-alpha-ethinylestradiol	 	chemical drug	 	-1.516	 	5.03E-05	Abcb1b,BCAT1,C3,CCR3,CCR8,CD5L,CDH1,CFP,CYP17A1,FOS,MARCO,MMP9,ODC1,PLK3,SLC11A1,SLC40A1,TNF,VEGFA	334 (20)	
alpha-estradiol	 	chemical - endogenous mammalian	 	 	 	2.56E-02	KLK3,VEGFA	 	
fulvestrant	 	chemical drug	 	0.233	 	2.47E-04	C3,CALCB,CDH1,CENPX,CLK1,CYP17A1,EGR1,EGR3,EPHA1,ESR1,FOS,FOSL2,GAB2,GTSE1,GUCY1A3,IGF1R,IRS1,KLK3,PAX5,PLK2,PPARG,SERPINB9,TNF,VEGFA,VIPR1	292 (20)	
estradiol benzoate	 	chemical drug	 	-0.091	bias	2.78E-03	AHR,C3,CDH1,CYP17A1,ESR1,FOS,HSPA8,PENK,RARB	240 (18)	
estrone	 	chemical - endogenous mammalian	 	 	 	2.13E-02	ABCG2,IRS1,IRS2	 	
taurolithocholic acid	 	chemical - endogenous mammalian	 	 	 	4.38E-02	TNF	 	
taurodeoxycholic acid	 	chemical - endogenous mammalian	 	 	 	3.48E-02	HPGD,HSPA5	 	
deoxycholate	 	chemical - endogenous mammalian	 	1.254	 	3.32E-04	CDH1,EGR1,HPGD,HSPA5,KCNJ10,NR4A1,RARB,SMUG1,TNF	231 (20)	
corticosteroid	 	chemical drug	 	-1.633	 	7.48E-03	DUSP1,IFNG,PPARG,SLPI,TDO2,TNF	237 (20)	
24(S),25-epoxycholesterol	 	chemical - endogenous mammalian	 	 	 	3.48E-02	CD5L,NR1H3	 	
CP-55940	 	chemical reagent	 	 	 	5.79E-03	ERBB2,JUNB,RPL13A,TNF,TNFAIP3,UBC	251 (15)	
hydrogen peroxide	 	chemical - endogenous mammalian	 	1.343	bias	4.88E-04	Abcb1b,ATF3,CD80,CD81,CDH1,CDKN2A,CSF3R,CXCR4,DPAGT1,DUSP1,DUSP2,EEF1A1,EGR1,ENPP2,ETS2,FOS,GADD45B,Hspa1b,HSPA5,ID3,IFNG,IGF1R,IRS1,KLF4,MCAM,MMP9,MT-CO1,NFIL3,NR4A1,ODC1,PPARG,PSTPIP2,SC5D,SLC7A11,TNF,TNFAIP3,TSPAN4,VEGFA	230 (21)	
DNA-methyltransferase	 	group	 	 	 	2.13E-02	CDH1,CDKN2A,IFNG	 	
Gp2b3a Receptor	 	complex	 	 	 	1.76E-02	CD40,MMP9	 	
P glycoprotein	 	group	 	 	 	2.56E-02	CD80,IFNG	 	
1-oleoyl-lysophosphatidic acid	 	chemical - endogenous mammalian	 	 	 	4.38E-02	ENPP2	 	
1-palmitoyl-2-oleoylglycero-3-phosphoglycerol	 	chemical reagent	 	 	 	1.76E-02	IFNG,TNF	 	
ganglioside GM3	 	chemical - endogenous mammalian	 	 	 	4.51E-02	CD40,CD80	 	
ganglioside GD1a	 	chemical - endogenous mammalian	 	 	 	3.98E-03	CD40,CD80,TNF	213 (18)	
galactosylceramide	 	chemical - endogenous mammalian	 	 	 	5.59E-03	CD40,PAX5	 	
prostaglandin E2	 	chemical - endogenous mammalian	 	0.392	 	2.30E-07	AHR,ATF3,CCR8,CD40,CD69,CD80,CDH1,CREM,CTLA4,CXCR4,DUSP1,EGR1,ERBB2,FOS,FOSB,FOSL2,IFNG,IGF1R,IL1R2,KLF4,MMP9,NFIL3,NR1H3,NR4A1,NR4A2,PENK,PLA2G4A,PLK2,PPARG,PTK2,RGS2,SOCS3,TJP1,TNF,VEGFA	256 (20)	
prostaglandin E1	 	chemical - endogenous mammalian	 	0.927	bias	8.38E-03	CD40,CREM,FOS,IFNG	200 (21)	
8-bromoguanosine 3',5'-cyclic monophosphate	 	chemical - kinase inhibitor	 	0.128	 	2.80E-03	CD8A,CDK14,FOS,JUNB,MMP9,VEGFA	252 (21)	
Rp-8-Br-cAMPS	 	chemical - kinase inhibitor	 	 	 	1.06E-02	ANXA1,IFNG,TNF	 	
8-bromo-cAMP	 	chemical reagent	 	0.949	bias	2.41E-02	COL10A1,CREM,CYP17A1,DUSP1,EGR1,FOS,GCH1,HPGD,IGF1R,NFIL3,ODC1,TIMP2,TNF,VEGFA	 	
bucladesine	 	chemical toxicant	 	1.093	bias	1.35E-07	ANXA1,Cd24a,CD80,CD8A,COQ10B,CR2,CREM,CTLA4,CXCR4,CYP17A1,DUSP1,ERBB2,ESM1,FOS,FOSL2,GADD45B,GALNT14,IFNG,IGF1R,IRS2,JUNB,LIPE,LRRN3,MCAM,MMP9,NR4A1,NR4A2,NR4A3,ODC1,POU2AF1,RARB,RGS2,Sik1,SOCS3,TIMP2,TNF	249 (18)	
ADP	 	chemical - endogenous mammalian	 	 	 	2.13E-02	CREM,FOS,TNF	 	
glucocorticoid	 	chemical drug	 	-0.711	 	2.55E-03	AHR,ANXA1,CD69,CXCR4,DUSP1,GCH1,IFNG,IL18,IL1R2,KLK3,MMP9,NR4A2,ODC1,PER1,PPARG,PRNP,SLPI,SOCS3,TDO2,TNF,VEGFA,VIPR1	231 (16)	
fludrocortisone	 	chemical drug	 	 	 	1.76E-02	CXCR4,KLK3	 	
alvespimycin	 	chemical drug	 	 	 	2.13E-02	ERBB2,ESR1,HSPA1A/HSPA1B	 	
6-amino-4-(4-phenoxyphenylethylamino)quinazoline	 	chemical reagent	 	 	 	4.51E-02	C3,MMP9	 	
pCPT-cAMP	 	chemical - kinase inhibitor	 	1.982	bias	6.22E-04	EGR1,FOS,JUNB,NR4A1	167 (13)	
chondroitin sulfate A	 	chemical - endogenous mammalian	 	 	 	2.13E-02	IFNG,MMP9,TIMP2	 	
fluticasone propionate	 	chemical drug	 	0.356	 	2.19E-04	ADAMDEC1,C3,C8orf44-SGK3/SGK3,CD80,CLEC12A,FSCN1,GADD45B,HLA-DMB,HLA-F,HPGD,IL1R2,IRS2,MMP9,NAMPT,SERPINF1,SIGLEC10,SLPI,TFPI,TNFSF13B	 	
beta-lactose	 	chemical - endogenous mammalian	 	 	 	4.38E-02	MMP9	 	
2-(4-acetoxyphenyl)-2-chloro-N-methylethylamine	 	chemical reagent	 	 	 	4.19E-02	IFNG,MMP9,TNF	 	
CXCL6	0.000	cytokine	 	 	 	2.56E-02	MMP9,TNF	 	
EPHB1	 	kinase	 	 	 	1.06E-02	EGR1,FOS,JUNB	 	
FFAR3	 	g-protein coupled receptor	 	0.478	 	2.71E-02	ANPEP,BCL11A,CD80,ENPP2,GBP6,HLA-DMB,Tlr13,TLR8	 	
triamcinolone acetonide	 	chemical drug	 	-1.591	 	2.29E-02	ATF3,BHLHE40,CBX4,DNA2,DUSP1,EGR1,FOS,JUNB,KCNB1,MARVELD2,PALLD,PER1,PLK2,RGS2,SCD,TNFSF4	 	
beryllium sulfate	 	chemical toxicant	 	 	 	5.59E-03	CDKN2A,IFNG	 	
cardiotoxin	 	chemical - other	 	-0.711	bias	3.39E-02	CSF2RB,CSF3R,CXCR4,HSP90AA1,HSPA5,IL13RA1,IL18,IL4R,RPSA,TNF,TNFRSF8,TSHZ3	 	
charybdotoxin	 	chemical - endogenous non-mammalian	 	 	 	4.38E-02	IFNG	 	
enterotoxin B	 	biologic drug	 	0.502	bias	1.09E-04	ALAS2,CD40,CD69,CD80,CSF2RB,CTLA4,CXCR4,Hspa1b,IFNG,SNCA,SRXN1,TNF	232 (14)	
MALSU1	-3.027	other	 	 	 	2.56E-02	MT-CO1,MT-CO2	 	
CGP 57380	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
ADRA1	 	group	 	 	 	7.85E-04	EGR1,FOS,JUNB	282 (22)	
Cd209b	-17.595	other	 	 	 	3.48E-02	IL18,TNF	 	
carteolol	 	chemical drug	 	 	 	4.38E-02	TNF	 	
lenalidomide	 	chemical drug	 	-0.322	 	3.09E-02	CEP72,EXTL2,FAM76B,IFNG,LIMA1,MMACHC,PTPRM,RASGRP3,RFC3,RGS1,RTP4,SEPT2,TMEM185A,TNF	 	
salmonella minnesota R595 lipopolysaccharides	 	chemical - endogenous non-mammalian	 	0.801	bias	2.97E-07	C8orf44-SGK3/SGK3,CD80,EGR1,ETS2,FOS,FOSB,HLA-DMB,IFIT1B,IFNG,JAG1,JUNB,MAFF,NFKBIZ,PILRA,Plpp1,PSTPIP2,SLFN12L,SOCS3,TNF,TNFAIP3	241 (17)	
thioinosine	 	chemical toxicant	 	 	 	2.56E-02	NR1H3,PPARG	 	
(R)-limonene	 	chemical toxicant	 	 	 	2.56E-02	CD69,TNF	 	
trichloroethylene	 	chemical toxicant	 	-0.816	 	4.08E-02	ANPEP,ATF5,BNIP3,EGR1,IL13RA1,STOM	 	
peptide YY 3-36	 	biologic drug	 	 	 	4.38E-02	FOS	 	
bromodichloromethane	 	chemical toxicant	 	 	 	4.38E-02	CDH1	 	
methapyrilene	 	chemical drug	 	1.414	 	1.93E-02	ATF3,EEF1A1,ENPP2,HSPA5,KYNU,LCAT,ODC1,RPL13A,SCD,SLC3A2,Sult1a1,TTR	 	
hydroxamic acid	 	chemical - other	 	 	 	4.38E-02	CXCR4	 	
sodium selenite	 	chemical drug	 	-1.987	 	2.88E-02	HPGD,IFNG,MMP9,TNF	 	
Sos	 	group	 	 	 	1.48E-03	BCAR3,CYP17A1,ESM1,FMN1,FOS,HBA1/HBA2,IRS2,KLF6,LARGE1,LGALS4,LIN9,NFIL3,ODC1,PLK2,PMEPA1,SCD,SEMA3E,SLPI,SNN	 	
Mmp	 	group	 	 	 	9.44E-04	DSG2,MMP9,TJP1,VEGFA	273 (20)	
Hdac	 	group	 	-1.905	 	7.76E-04	AHR,ATF3,CXCR4,EGR1,EGR3,ERBB2,FOS,GADD45B,HPGD,KLF6,LRP4,MYBL2,NOTCH4,NR4A1,RARB,TNF,TNFSF4	297 (19)	
Notch	 	group	 	0.381	bias	6.41E-03	CDH1,DUSP1,GADD45B,GUCY1A3,ID3,IFNG,JAG1,TNF,VEGFA	263 (21)	
VAV	 	group	 	 	 	2.56E-02	CD69,TNF	 	
Creb	 	group	 	0.595	bias	1.89E-05	ARHGEF9,ATF3,CD5L,COX6A2,CREM,CYP17A1,DUSP1,EGR1,EGR3,FOS,FOSB,FSCN1,HPGD,IFNG,JUNB,KCNC1,MCAM,NR4A1,NR4A3,PENK,PER1,POU2AF1,PPARG,RGS2,SKIL,SLC7A11,TNF,TRIM6-TRIM34,UBC,VEGFA,ZBP1	283 (20)	
PI3K (complex)	 	complex	 	1.689	bias	1.78E-02	ATF3,CD274,CDH1,CXCR4,DUSP1,FHIT,FOS,GSTM5,IFNG,IGF1R,MCAM,MMP9,MT-CO1,NR4A2,PLA2G4A,RGS2,SKIL,SOCS3,TNF,TNFAIP3,VEGFA	 	
Tgf beta	 	group	 	1.914	bias	6.61E-05	BHLHE40,CD79A,CDH1,CDKN2A,CIITA,COL10A1,CTLA4,CXCR4,FOS,FSCN1,GADD45B,IFNG,JAG1,JUNB,KDM6B,LCAT,MMP9,NR4A2,PMEPA1,SKIL,SLFN12L,SOCS3,TIMP2,TNF,VEGFA	202 (14)	
ERK1/2	 	group	 	0.731	bias	9.05E-07	Abcb1b,APH1A,C3,CD40,CD80,CXCR4,CYP17A1,DUSP1,EGR1,ESR1,FOS,FOSB,HLA-A,HPGD,HSPA5,ID3,IFNG,IGF1R,IRS2,ITGA3,JUNB,MAP3K10,MMP9,NAMPT,NR4A3,PFKFB4,SBSN,SKIL,SOCS3,TIMP2,TNF,VCAN,VEGFA	254 (19)	
Nos	 	group	 	-0.130	bias	3.32E-04	CDH1,EGR1,FOS,GCH1,VEGFA	240 (18)	
P38 MAPK	 	group	 	0.434	bias	3.77E-04	ATF3,BNIP3,CD40,CD69,CD80,CDKN2A,CXCR4,DUSP1,EGR1,FOS,HSPA5,ID3,IFNG,IRF6,JUNB,KCNB1,KLF4,MMP9,MT-CO2,NR4A1,NR4A3,PLA2G4A,PLA2G7,PPARG,RAB7B,RYR1,SOCS3,TIMP2,TNF,TRADD,VEGFA	224 (19)	
G protein alpha	 	group	 	 	 	4.38E-02	FOS	 	
Ctbp	 	group	 	 	 	4.19E-02	CDH1,CDKN2A,DSG2	 	
Gsk3	 	group	 	-0.923	bias	6.54E-06	CD40,CDH1,ESR1,FOS,FOSB,FSCN1,IFNG,IGF1R,IRS1,NR4A1,NR4A2,PPARG,TNF,TNFAIP3	200 (16)	
STAT5a/b	 	group	 	0.508	bias	1.63E-04	AHR,CD69,CDKN2A,DUSP1,DUSP2,EBF1,FCMR,FOS,IFNG,IL4R,PAX5,RARB,SOCS3	240 (20)	
