© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
miR-26a-5p (and other miRNAs w/seed UCAAGUA)	 	mature microrna	Activated	3.499	5.67E-04	CCND2,CCNE1,CCNE2,CDK4,CDKN1A,CDKN1B,CXCL3,EZH2,GSK3B,PHF6,PTEN,PTGS2,SMAD1	 	
NUPR1	 	transcription regulator	Activated	3.503	3.82E-14	ACSS1,ADGRL3,ADRB2,AKAP12,ANK1,AP5M1,API5,APOBEC3B,ASPM,ATAD5,ATF3,ATR,AURKA,B3GAT3,B3GNT5,BLM,BRCA1,BRCC3,BRI3BP,BTG1,CASP2,CCNA2,CD68,CDC23,CDCA2,CDK15,CDK4,CDKN1B,CENPC,CENPI,CENPL,CEP97,CERK,CHD4,CHTF8,CHUK,COA5,CROT,CXADR,CXCL3,CXCR4,DENND5B,DGCR8,DHCR24,DNTTIP1,DPH6,DUSP5,ERCC6L,EXO1,FAM111A,FAM120B,FBXO3,FCF1,FLVCR1,FUCA1,FUT11,GCH1,GMEB1,GNE,GPCPD1,GPSM2,GTSE1,HIST1H2AB,HIST1H2AL,HIST1H2BB,HIST1H2BM,HIST1H4L,HK2,HLTF,IFIT2,IPP,IRF2BP2,IRS2,ISCA1,KAT5,KBTBD7,KDM3A,KIF11,KIF18A,KIF23,KIFC1,KLF4,KLF6,KNL1,KXD1,LARS2,LIF,MAFG,MAT2A,MGME1,MMS22L,MSH6,MTFMT,MXD1,NAAA,NDRG1,NEIL3,NEMP1,NFIL3,NRBF2,NRROS,NSF,NT5DC3,OSER1,PARP9,PDK1,PER3,PEX12,PFKFB3,PIK3R1,PIM1,PLEKHM3,PLK3,PMPCA,POLA2,POLQ,PPP1R15A,PPWD1,PRDM4,PRKACA,PTPRJ,RAB20,RAB29,RAD51,RANBP6,RCL1,RMI1,RNF122,RTN4IP1,SESN2,SKA2,SLC16A10,SLC25A12,SLC2A1,SLC6A6,SLF1,SPAG5,SPC25,SPRTN,SPTSSA,STIL,STK38,STX3,TARDBP,TFAP2A,THG1L,TICRR,TMEM167B,TMPO,TNFAIP8L1,TP53BP2,TRIB1,TSC22D2,TUBGCP5,UAP1,UPRT,USP31,USP36,VPS45,WDR76,WDR91,XRCC2,ZC3HAV1,ZFP36L1,ZMYM3,ZPR1	1152 (11)	
MXI1	-7.035	transcription regulator	Activated	2.433	2.91E-02	APEX1,IARS,IFT20,IMPDH2,LARS,ODC1,SLC7A1	 	
copper gluconate	 	chemical drug	Activated	3.569	8.75E-04	ASCC3,BIVM,BRCA1,BRCC3,MSH2,PMS1,POLI,POLR2F,RAD50,SMC2,UNG,USP10,USP47	 	
DICER1	-18.076	enzyme	Activated	2.387	1.00E00	AGO2,AKT1,ANKS3,ARID3B,BCL2L11,CAMK2D,CASP3,CCND2,CD160,CDKN1A,CDKN1B,Celf1,CPEB2,CXCR4,DHCR24,EGR1,EPHA3,FCGR2A,FOS,GBP3,GNG2,HMGCR,HNRNPH1,IFNG,IGF2,IL10,IL18R1,ITGAV,KRAS,MITF,MT-ND5,NANOS1,OAS1,OPTN,PANK3,PIK3CG,PRF1,PRKCD,RANGAP1,RBFOX2,RICTOR,S1PR1,SBDS,SOCS3,THBS1,TIA1,TNNT1,TRIM6,ZC3HAV1L	 	
TSC2	-1.853	other	Activated	3.491	1.03E-02	ACSS2,ATF3,ATP6AP2,ATP6V1A,ATP6V1B2,ATP6V1D,BAX,CASP1,CCND2,CD68,CDKN1A,CDKN1B,CREG1,CRIP1,EGR1,EMP3,ERO1A,FOS,HK2,HMOX1,HSPA5,IFNG,IRS2,LDHB,LGALS3,PLP2,Rpl32,S100A6,SLC14A1,SLC2A1,VAMP8,ZFP36	 	
POR	-8737.939	enzyme	Activated	2.925	6.40E-05	AASDH,ABCA1,ACAT2,ACLY,ACSL1,ACTG1,AHR,ANXA5,ASNS,BDH1,CD74,CPA3,CYP51A1,DHCR24,ECI1,EHHADH,ELOVL1,ELOVL5,ENTPD5,ETHE1,FDPS,GADD45B,GPHN,GSTM1,HADHB,HLA-A,HLA-DQA1,HLA-DQB1,HLF,HMGCR,HMGCS1,HMOX1,HSD17B10,HSD17B11,HSD17B12,Hsdl2,HSPH1,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,Naip1 (includes others),NRG4,PFKFB3,PGD,PMVK,PNPLA7,POR,SC5D,SECISBP2L,SLC23A2,TMEM229B,UGDH,VEGFA	 	
SUMO3	1.022	other	Activated	2.138	4.37E-01	Bst2,CCND2,CD38,HLA-G,HSPA8,ISG15,LY6E,XRCC5	 	
CDKN2A	2.285	transcription regulator	Activated	2.219	3.57E-05	AMD1,ANAPC5,APAF1,ASF1B,BARD1,BAX,BCL2L11,BLM,BTG2,CASP3,CCNA2,CCNE1,CCNI,CCR7,CCR8,CDCA7L,CDKN1A,CDKN1B,CDKN2D,CENPK,CNOT6L,DCK,DCTN4,DUSP1,E2F2,E2F3,EEF1A1,EGR1,EHD3,EZH2,FAM111A,FBL,FOS,GABARAP,GFRA2,GLB1,GSPT1,GTSE1,HAUS1,IFNG,ITGAV,JAK2,KAT5,KIFC1,KRAS,LEF1,LGALS3,LIN9,MCM4,MDM2,MDM4,MELK,MS4A1,MYBL2,ODC1,POLD2,POLD3,POLK,PPFIBP1,PSMB9,PTEN,PTGS2,RAB9A,RFC4,RMI1,RRM1,RRM2,S100A6,SAE1,SERTAD1,SH3BP2,TCF19,TFDP1,TGIF1,TK1,TMPO,TNFRSF1B,TOB2,TPP1,UBR7,VEGFA,VPS41,VRK1,ZNF655	1045 (15)	
KDM5A	-2.527	transcription regulator	Activated	4.856	2.02E-04	ATP1B1,Atp5k,ATP6V1D,CCNE1,CD55,CDKN1B,COQ5,COX4I1,DUSP2,GADD45GIP1,GHITM,HMOX1,IDH3B,MCM3,MDH1,MRPL12,MRPL17,MRPL9,MSTO1,MYL4,NDUFA10,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA9,NDUFB8,NDUFS4,NIT1,NME1,OPA1,PGD,PIM1,PMPCB,RPS6KB1,SDHC,SDHD,TERT,TNNT1,TOMM6,UQCRFS1,UQCRQ	 	
SOCS1	1.392	other	Activated	4.061	2.76E-02	BAX,BID,CCND2,CCNE1,CCR7,CD200R1,CD69,CDK4,CDKN1A,DUSP1,FOS,H2-T24,IFI16,Ifi47,IFIT1,IFIT2,IFIT3,IFNAR1,IFNG,Iigp1,IL12RB1,IL4R,IRF7,IRGM,IRS2,ISG15,ISG20,JAK2,Mx1/Mx2,OAS1,Oasl2,PTGS2,SOCS3,STAT3	 	
DNASE2	-7.989	enzyme	Activated	2.784	2.33E-03	IFIT3,IFNG,IL10,IRF7,ISG15,Ly6a (includes others),Ms4a4b (includes others),Mx1/Mx2,OAS1,Oasl2,RTP4,TNFSF10,USP18,ZBP1	 	
PTGER4	-7.041	g-protein coupled receptor	Activated	2.837	9.11E-04	ARRDC3,BRCA1,CCNG2,CCR7,CD69,CMPK2,Ctla2a/Ctla2b,CXCR4,CYBB,EGR1,FAM49A,FBXL20,HERC6,HERPUD1,IFI16,Ifi47,IFIT2,IL10,IRF7,IRGM,Irgm1,ISG20,MAFF,MASTL,Mx1/Mx2,NCF1,PARP14,PDK2,PTGS2,RNF24,RTP4,S1PR1,SAP30,Serpinb6b,SLAMF1,SLFN13,SLFN5,ST8SIA4,TBC1D4,Tgtp1/Tgtp2,TNFSF10,USP18,XAF1,ZFP36L1	710 (7)	
NKX2-3	 	transcription regulator	Activated	2.595	1.37E-02	ADAP1,ANKRD37,ASNS,BTG1,CASP1,CD38,CD68,CERK,CMPK2,CSRNP1,CXADR,DDX60,EIF2AK2,EXOC6,F2RL1,FAM172A,FAM46A,FBXO6,FLRT2,GCA,GCH1,HELZ2,HIST2H2AA3/HIST2H2AA4,HLA-F,HMMR,KLF4,LAP3,LY6E,MYO5A,NT5C3A,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PSAT1,PSMB8,PSMB9,PTGS2,PTPRE,RPL23,RTP4,SAMD9L,STAT2,SYT11,TNFAIP8L1,TTC3,TXNDC12,UBA7,UBE2L6,UNC93B1,USP18,XAF1,ZC3HAV1,ZNFX1	 	
INSIG2	1.587	other	Activated	2.764	3.02E-03	ACLY,FDPS,G6PD,GPAM,HMGCR,INSIG1,LDLR,SREBF1	437 (3)	
BCL6	-691.148	transcription regulator	Activated	2.469	4.68E-02	ALCAM,ANXA6,BAX,BCL6,CCND2,CCR7,CCR8,CD69,CD72,CDKN1A,CDKN1B,CDKN2AIP,CHM,CLCN2,CTLA4,CWC27,CXCL3,EPB41L2,GABARAPL1,GATA3,GPX4,HERC6,IFNG,IL10,IL4R,IRF4,IRF8,JMY,JUNB,LDHB,LDLR,LITAF,Ly6a (includes others),MITF,MSH2,ORC1,PDP2,PFDN4,PIK3CG,PTEN,RAD50,SOCS3,SYK,TBPL1,TBX21,TGFB1,TNFRSF14,TRIM2,UBA7	 	
SYK	-1324.117	kinase	Activated	2.717	2.97E-02	AKAP12,ATP8A1,BCL2L11,CCR7,CD69,CDKN1B,CXCR4,GATA3,IL10,ITGAM,JMY,OAS1,PCMTD1,PIK3CA,PIM1,PTPRE,SREBF1,TGFB1,TNFSF10,TRIB2,USP53,VEGFA,YPEL5	 	
IL2RG	-9.660	transmembrane receptor	Activated	2.339	6.52E-02	BCL6,FOS,HLA-A,IFNG,IKBKE,ILVBL,IRF7,NPC2,NSMCE1,REV3L,RHOH,SESN1,TXK,UBA7,ZBTB48	 	
KLF3	-1.272	transcription regulator	Activated	6.214	2.02E-18	ACOT9,ADPGK,ANK1,ANXA5,ANXA6,AP4M1,ARFGAP2,BCAP29,BCL2L2,BTLA,C11orf24,CAMK2D,CAPNS1,CARHSP1,CCT3,CD55,CD69,CD99L2,CDK10,CDKN2D,CEP63,CHCHD10,CIRBP,CMPK2,CSNK1G3,CTNNA1,DEGS1,DFFA,DHRS7,DIAPH1,DOK3,DRG1,DTNB,E2F2,E2F3,ELP1,ETAA1,FAM49A,FBXL12,FOS,GALNT1,GCNT1,GPD2,GPR174,GSTP1,HDAC11,HEXB,HIST1H2AC,HIST1H2BI,HNRNPF,HNRNPH1,HYPK,Ifi27,INTS4,JAK2,KBTBD2,KDM3A,KLHL6,LILRB3,LIN54,MAP1S,MATK,MICU2,MIF,MRPL3,MSTO1,MTCH2,MYADM,MYL4,MYO5A,NDFIP1,NDRG1,NELFB,NSMAF,NSMCE1,PDCD2L,PDLIM2,PIK3IP1,PKNOX1,POP5,PPM1A,PRKACA,PTP4A2,PUM2,RAB33B,RAP1GAP2,RAP2C,RASSF1,RAVER1,RBM48,REEP5,RNF166,RPS6KA5,SEC24D,SELL,SGCB,SGK1,SIGIRR,SLC14A1,SLC28A2,SLC38A9,SLC39A11,SP140,SPTB,STAT4,SUSD3,SWT1,TAZ,TDRD7,TIMM10B,TJAP1,TMOD3,TMPO,TPM3,TRABD,TREX1,TRIM23,TRIP10,TUBA1A,UBL3,UFSP2,UGCG,UHRF2,VEGFB,VPS50,WDR11,WDR20,YTHDF1,ZBTB41,ZHX1,ZNF367,ZNRF2	 	
TCF3	2.950	transcription regulator	Activated	2.560	3.90E-06	AATF,ALCAM,ANXA6,AP4B1,ASF1B,ATF3,AURKA,BCL2L11,BCL6,BID,CASP3,CBFA2T3,CCDC117,CCNA2,CCND2,CCNE1,CCNE2,CCS,CD3E,CD55,CD8B,CDC20,CDC45,CDKN1A,CERK,CIP2A,CNOT9,CRELD2,DCK,DSTN,DUT,ECT2,EDEM1,ENPP1,ETS2,GADD45B,GATA3,GM2A,GNE,GPAM,HADHA,HCST,Hmgn2 (includes others),HMMR,HSD11B1,HSPA13,HYOU1,IFI16,Ifi27,IFNAR1,INTS13,IQCB1,KIF11,KIF4A,KLF4,LEF1,LEPROTL1,LRBA,Ly6a (includes others),MANF,MEF2C,MSMO1,MYL4,NCAPG,NFIL3,NR4A3,NUSAP1,OPTN,PAX5,PGK1,PLCG2,PLK4,PMS2,POLE4,PRC1,PRDX2,PTPRCAP,RORA,RRM2,SAMD9L,SEC11C,SEC24D,SELENOP,SELL,Serpina3g (includes others),SLC12A2,SLC35B1,SOCS3,SPC25,STRN3,SUB1,TAPBPL,TTK,TXNDC5,XRCC6,ZBP1,ZC3H12A	137 (2)	
IGHM	 	transmembrane receptor	Activated	2.160	4.37E-01	CCND2,CCNG2,CDK4,CDKN1B,FASLG,LGALS3,SELP,SLAMF1	 	
INSIG1	-12172.258	other	Activated	5.555	8.96E-04	ABCA1,ACLY,ACSS2,ALOX5AP,CCR5,CCR7,CD68,CXCL3,CXCR4,CYP51A1,DHCR24,ELOVL1,FADS1,FDPS,G6PD,GPAM,HLA-DQA1,HMGCR,HMGCS1,IDI1,IFNG,IRF8,IRS2,LDLR,LIPA,MVK,NFKBIZ,PMVK,PRF1,SCAP,SREBF1,STAT4,TGFB1	450 (4)	
CD3E	-19.826	transmembrane receptor	Activated	2.128	4.03E-03	BCL10,CD3D,CD3E,CD3G,CD69,CD8B,CDK4,CTLA4,FASLG,FOS,IFNG,IL10,ITK,KRAS,NFATC3,NFKBIB,NRAS,PIK3CG,PIK3R1,PTGS2,SCARB2,TNFRSF1B	1070 (17)	
RBL2	-28948.612	other	Activated	4.216	3.19E-03	ABCF2,AURKA,BCL2L11,BRCA1,CAMKK2,CCNA2,CCNE1,CDKN1A,CDKN1B,CDR2,CHKA,ELK1,GSK3B,HADH,KIFC1,KLF10,KPNA2,MYBL2,PA2G4,PCSK7,PFAS,PIM1,POLD1,PRIM2,RBL2,RRM2,TERT,TMEM11,UCK2,VEGFA,VEGFB	1099 (11)	
MAP4K4	2.141	kinase	Activated	6.405	9.38E-07	ACAA2,ACLY,AGL,AGPAT3,ALG9,ATP6V0A2,ATP6V0E1,AUH,BCAT2,Calm1 (includes others),CHKB,COQ5,COX10,CYC1,DLD,GOT1,HADH,HADHA,HADHB,HMGCL,IMPDH1,IVD,LDHB,NDUFA11,NDUFA3,NDUFA5,NDUFAB1,NDUFB7,NDUFS1,NDUFS4,NDUFS8,NT5M,PDHX,PEX19,PEX3,PGM1,PHYH,PRKAR2A,RPS6KB1,RPS6KB2,SEPHS1,SREBF1,SUCLG1,UCK1,UQCRFS1	693 (7)	
EPHB6	2.032	kinase	Activated	2.449	1.00E00	BMPR1A,BMPR2,IFNG,IL10,TGFB1,TRIB1	 	
CST5	 	other	Activated	4.115	4.64E-07	ABCC1,ABLIM1,ACAT2,ADSL,AHCTF1,AKAP12,ANXA5,ANXA6,ARHGAP12,ATR,BCAP31,CEP170,CNOT8,CTSB,DDT,DKC1,DOCK5,DOCK9,DR1,DTNB,EBNA1BP2,EEF1B2,EEF1D,EIF2B2,ELK3,EMP3,EXOC3,FER,FRAS1,GRAP,GTPBP10,HNRNPH1,HS2ST1,IGBP1,INTS10,INTS4,KIF11,KRR1,LAMC1,MAP1B,MAP1S,MEF2C,MVP,NCBP2,NDUFB7,NDUFC2,NHP2,NIFK,NOL9,NOP10,NRP1,NT5DC3,NT5E,NUDT16L1,NUP107,NUP205,PDCL3,PDLIM5,PLS3,PPP2R2A,PPP2R5A,PRDX1,PRDX2,PRPF8,PUF60,PYGB,RBM28,REEP5,RNPC3,RPF2,RTN3,SLC4A1AP,SLC7A11,SNAPIN,SNX30,SPOUT1,SUPV3L1,TARDBP,TBL3,TGIF1,TSPAN5,UCHL5,UTP14A,VPS25,VPS36,VTI1A,WDR36	 	
PAX6	12.730	transcription regulator	Activated	2.170	1.00E00	Acp5,ACTR1B,ADAM9,BCL2L2,CAP1,CCND2,CDC45,CDCA2,CDCA7,CENPI,CHKA,DDX3Y,DERL2,DOK1,EEF2K,EFCAB14,GDI1,GNG2,HAUS1,HELB,LAMTOR5,MCM3,MCUR1,MITF,MTCH1,OAS1,Oas1d (includes others),OFD1,PCNX1,RHBDD1,SMC2,SPAG1,THNSL1,TROVE2,UCHL5,VEGFA,Zfp60	 	
E2F6	-9.058	transcription regulator	Activated	2.138	1.65E-03	APAF1,BRCA1,CCNE1,CDC45,CDC7,DCTN4,DDX11,E2F2,GINS2,KDM3A,MCM3,MFAP1,POLA2,RAD51,RBBP4,RFC4,RPA2,RRM2,UNG,USP47,WDR36,ZNF451	618 (5)	
COMMD1	-2706.085	transporter	Activated	2.985	2.47E-03	ALDOA,ATP7A,DDIT4,HK2,IFNG,PDK1,PFKFB3,PGK1,TFRC,TLR1,VEGFA	748 (7)	
MNT	-4.390	transcription regulator	Activated	2.646	3.54E-06	BCL6,CAD,CCND2,CCNG2,CDK4,E2F2,FASLG,GADD45B,IFNG,KLF10,KLF6,ODC1,TERT	 	
TRIM24	-1.722	transcription regulator	Activated	5.814	2.23E-05	Bst2,CMPK2,DDX60,EMB,GBP3,HERC6,Ifi47,IFIT2,IFIT3,IFNGR2,Iigp1,IRF7,IRGM,Irgm1,ISG15,JAK2,LGALS3,Ly6a (includes others),MOV10,Ms4a4b (includes others),OAS1,PARP12,PHF11,PRPS2,PSMB8,PSMB9,RTP4,SAMD9L,SHISA5,SPP1,STAT2,TGFBI,Tgtp1/Tgtp2,UBA7,USP18,VEGFA	 	
EFNA4	 	kinase	Activated	2.000	1.00E00	DCBLD2,DSG1,IRF7,NT5E	 	
KDM5B	1.848	transcription regulator	Activated	2.908	1.21E-02	ASF1A,AURKA,BBS9,BRCA1,BUB3,CCNE1,CDC14A,CDKN1B,CLCF1,COMMD3-BMI1,CYB5A,DHCR24,DLGAP5,DPY19L1,ECT2,EGR1,GCA,HMMR,INSIG1,IPP,ISG15,ITGB1BP1,MCM3,MPC1,NDE1,OSER1,PDE3B,PLS3,POLB,PRPS1,RNASET2,SMC5,SNRPD1,SPTSSA,TGFB1,TTK,UBR7	 	
EFNA1	 	other	Activated	2.345	1.00E00	CD69,DCBLD2,DSG1,EPHA3,HERC6,IRF7,ITCH,KRAS,NRAS,NT5E,TRIM2	 	
DAP3	-1.065	other	Activated	3.317	6.15E-07	MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L,MT-ND5,MT-ND6	 	
PRDM1	1.427	transcription regulator	Activated	3.242	1.00E00	ADAM8,AIM2,ATG7,BCL2L11,BCL6,CCR7,CD74,CLTA,CXCL3,CXCR4,CYP4V2,DDIT4,DUSP16,FOS,HIST2H2AA3/HIST2H2AA4,HLA-DQA1,IFNG,IL10,IRF2BP2,IRF4,IRF8,KLRC1,PAX5,PDCD1,PRKDC,PSMB8,SPIB,ST14,TBX21,TNFSF10,TRIB1,UHRF2,XRCC5	 	
RPL22	-1.488	other	Activated	2.000	5.20E-03	ATF3,BAX,BCL2L11,CDKN1A,DNAJC3,HSPA5,Pmaip1	547 (5)	
FOSL1	-1.737	transcription regulator	Activated	2.177	1.00E00	EGR1,FOS,FOSB,GCLC,IL10,JUNB	 	
PPP5C	5.378	phosphatase	Activated	2.000	2.79E-02	AHR,CDKN1A,DUSP1,SGK1	 	
TFAP2C	 	transcription regulator	Activated	2.366	4.98E-01	AIFM1,ALCAM,CDKN1A,DYRK2,FMN1,FREM2,HIST1H1C,NRP1,THBS1,TK1,TNFAIP3,ZMYND11	 	
EFNA3	 	kinase	Activated	2.236	1.00E00	DCBLD2,DSG1,IRF7,NT5E,TRIM2	 	
Cdkn1c	1.112	other	Activated	2.646	1.25E-04	ATM,BAX,CCNA2,CDKN1A,CDKN1B,CDT1,CXCR4,E2F3,EGR1,MCM3,NAB1,Pmaip1,PPP1R13B	 	
Irgm1	-2212.668	other	Activated	3.860	1.03E-02	CCNA2,DTL,IFI16,IFIT2,IFIT3,IFNG,Iigp1,IRF7,NCAPG,RRM2,SELP,SPAG5,STIL,TK1,USP18	 	
CD28	-20.361	transmembrane receptor	Activated	4.771	2.17E-07	ACTR3,AHR,ANAPC1,AP1B1,ATM,ATP5C1,BHLHE40,BIN1,BTG1,CASP3,CCND2,CCNE1,CCR5,CD247,CD27,CD274,CD3E,CD69,CDK4,CDK7,CDKN1B,CLK1,CNIH4,CREM,CS,CTLA4,CXCR4,CXCR6,CYC1,CYCS,DGKA,DUSP14,EIF4E,FASLG,FBL,FDPS,FKBP2,FOS,GATA3,GTPBP4,GZMA,HAT1,HAX1,HELLS,HIST1H2AC,HIST2H2AA3/HIST2H2AA4,HLA-DQB1,HSPA1A/HSPA1B,HSPA8,IFNG,IL10,IL10RB,IL12RB1,IL12RB2,IL18R1,IL1RAP,IL21,IRF4,IRF8,ITCH,KDELR2,LNPEP,LTN1,MBD1,MT-CO1,Mx1/Mx2,NAIP,NAMPT,NR4A1,ODC1,ORAI1,PCSK7,PDCD1,PHB2,POLR2A,PSMA6,PTEN,PTGS2,PTPRJ,RAB2A,REL,RHOC,RNF128,RORA,RPS14,RYK,SH2D2A,SLC5A3,SLC7A1,SOCS3,SRPRB,STAT3,STIM1,STOM,STRN3,TBX21,TFRC,THBS1,TMX3,TNFAIP3,TNFRSF1B,TNFSF10,UBE4A,VBP1,XRCC6	1157 (19)	
SET	-24477.507	phosphatase	Activated	3.317	2.96E-02	ARL4A,BET1,BRCA1,COX7A2L,DTYMK,FDPS,FTO,MBD2,MRPL22,MRPS30,PHIP,SRP72,TMED2	 	
tomatidine	 	chemical - endogenous non-mammalian	Activated	2.236	1.57E-02	EIF2S2,LARS,MARS,NARS,SLC38A2	 	
sirolimus	 	chemical drug	Activated	7.349	2.05E-03	ACADM,ACTB,ADSS,AKT1,ANXA5,APPL1,ASNS,ATP5C1,ATP6AP2,ATP6V1A,ATP6V1B2,ATP6V1D,B2M,BAX,BCL2L11,BID,CASP3,CCND2,CCNE1,CCR5,CCR7,CD68,CDK4,CDKN1A,CDKN1B,CLIC1,CRAT,CREG1,CTLA4,CXCR4,CYCS,DDIT4,DDT,DDX56,DOT1L,EEF1A1,EEF2,EGR1,EIF1AX,EIF2AK2,EIF2S1,ERCC1,FOS,FSCN1,G6PD,GATA3,GCLC,GSTP1,H3F3A/H3F3B,HMOX1,HSP90AA1,HSPA4,HSPA5,HSPD1,IDI1,IFNG,IGF2,IL10,IL16,IL4R,IRF7,IRS2,ISG15,JUNB,KIF15,LDHB,LGALS3,MAP4K5,MAPK1IP1L,NDUFA9,NEDD8,NR4A3,ODC1,PGK1,PGM1,PIK3R1,PIM1,PSMA6,PSMD11,PYGB,RAB9A,RACK1,RAN,RBM6,RHOA,RHOQ,RPL10,RPL13A,RPL15,RPL18A,RPL19,RPL21,RPL23,RPL35,RPL41,RPN2,RPS14,RPS15,RPS16,RPS17,RPS20,RPS3,RPS6KB1,RPSA,SELL,SLC25A38,SLC2A1,SLC3A2,SNRPD2,SOCS3,SREBF1,TBX21,TERT,TGFB1,TMPO,TPM3,TUFM,UBA1,UCK2,VEGFA,ZFP36,ZNF207,ZNF689	940 (14)	
LY294002	 	chemical - kinase inhibitor	Activated	8.099	2.53E-04	ABCA1,ABCC1,ACSS2,ADAM17,ADAMTS1,ADIPOR2,ADRB2,AGL,AKT1,ALOX5AP,ATF3,AURKA,BAX,BCL2L11,BCL6,BHLHE40,BRCA2,CASP3,CCNA2,CCND2,CCNE1,CCNT2,CD274,CD2AP,CD38,CD69,CD74,CDK4,CDK5R1,CDKN1A,CDKN1B,CDKN2D,CREM,CXCL3,DHCR24,DLG2,DSCAM,DUSP1,EGR1,EIF1AX,ERCC1,ETS2,FER,FLRT2,FOS,FOSB,GCLC,GPD2,GPR137B,GPR183,GSK3B,GSR,GSTP1,HERPUD1,HIST1H4C,HMGCR,HMGCS1,HMOX1,HSPA5,IDE,IDI1,IER3,IFNG,IGF2,IL10,IL3RA,INPP4B,IRS2,ISG20,ITGAM,ITGAV,JUNB,KLF10,KRAS,LIF,MAP2K4,MAT2A,MDM2,MEF2C,MITF,MXD1,NDRG1,NFATC3,NFE2L2,NR4A1,NR4A2,NR4A3,NRAS,NUP153,PGK1,PIK3R1,PIM1,PLAA,PLK2,PMPCB,PRDX1,PTEN,PTGS2,PTPRJ,RAB6A,RAP1A,RBL2,RCC1,RFC4,RGS1,RGS2,S1PR1,SELP,SGK1,SLC2A1,SMC2,SOCS3,SOS1,SP4,SPAG5,SPP1,SREBF1,SYK,TERT,TGFB1,THBS1,TNFAIP3,TNFRSF1B,TOP3B,TRIB2,VEGFA,ZFP36,ZNF267	1002 (15)	
SU6656	 	chemical toxicant	Activated	3.440	2.37E-02	ATF3,EGR1,ETS2,IER3,JUNB,NFIL3,NR4A2,PTGS2,SOCS3,UCK1,VEGFA,ZFP36L1	 	
CGS 21680	 	chemical reagent	Activated	2.192	2.41E-02	CD69,Cox7c,EGR1,FASLG,FOS,GRIN1,IFNG,IL10,PTGS2,RGS2,SLC9A1,TFRC,VEGFA	 	
tanespimycin	 	chemical drug	Activated	2.708	5.66E-03	AHR,AKT1,AKT2,BRAF,CAPN1,CDK4,CDKN1A,CDKN1B,CHUK,CYCS,DNAJB1,HAT1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPA9,IARS,KRAS,MIF,MITF,NRAS,POLR2L,PRDX3,PRMT5,RBMX,RPL35,RPS16,SLC2A1,STAT3,STK38,SYN1,TNFAIP3,VEGFA	1282 (17)	
disulfiram	 	chemical drug	Activated	3.569	8.75E-04	ASCC3,BIVM,BRCA1,BRCC3,MSH2,PMS1,POLI,POLR2F,RAD50,SMC2,UNG,USP10,USP47	 	
SP600125	 	chemical - kinase inhibitor	Activated	3.131	2.28E-02	ABCA1,Abcb1b,ACAT2,APOBEC3B,ATF3,ATP6AP2,BAX,BCL2L11,BCL2L2,BDH1,CASP3,CD2AP,CDK5R1,CDKN1A,CDKN1B,CSF1R,CTLA4,CXCL3,DDIT4,EGR1,ERCC2,FASLG,FOS,FOSB,HIST1H2BE,HIST1H2BI,HIST2H2AA3/HIST2H2AA4,HMOX1,IFNG,IL10,ISG15,JUNB,LDLR,LGALS9B,MSH3,MTHFR,NR3C2,NR4A1,PAFAH1B2,PER1,PLSCR1,POLD3,PRDX1,PTGS2,SELP,SOCS3,SPP1,SREBF1,TGFB1,THBS1,VEGFA,ZFP36	 	
ST1926	 	chemical drug	Activated	6.640	7.04E-04	ACTB,AK2,AKR1B1,AP2M1,AP2S1,ATP5J,CCT3,CDK4,CDKN1A,CHCHD2,CLIC1,COX7A2L,COX7B,EEF2,EIF3D,HSP90AA1,IMP3,KPNA2,LSM3,MOB1A,MTCH2,NACA,NARS,NDUFB9,NME1,NOP10,ODC1,PIN1,POLR2G,RPL10,RPL18A,RPL19,RPL41,RPS15,SELENOF,SLC30A5,SLIRP,SNRPD2,SP140,SRP72,SSBP1,SSR2,TMEM14C,TMEM258,UBL5,UGCG,UQCRB,VAMP8	 	
nimodipine	 	chemical drug	Activated	2.449	4.90E-02	BAX,CASP3,FOS,NR4A1,NR4A2,ODC1	 	
tiron	 	chemical reagent	Activated	2.236	1.57E-02	CDKN1A,HMOX1,HSPA5,KRAS,PRDX2	 	
CD 437	 	chemical drug	Activated	6.442	4.25E-06	AK2,AKR1B1,ALDOA,AP2M1,AP2S1,API5,ATP5C1,ATP5G3,ATP5J,ATP5L,BAX,CCT3,CDK4,CDKN1A,CLIC1,COX7A2L,COX7B,CST7,EEF2,EIF3D,FOS,FSCN1,HADHA,HSP90AA1,HSPA8,IMP3,INO80B,KPNA2,LSM3,MOB1A,MTCH2,NACA,NARS,NDUFB9,NME1,NOP10,NR4A1,ODC1,PHYH,PIN1,PLP2,POLR2G,RBMX,RPL10,RPL11,RPL13A,RPL19,RPS15,RPS16,RPS17,SELENOF,SET,SLC30A5,SLIRP,SNRPD2,SP140,SSBP1,SSR2,STOML2,TMEM14C,TMEM258,TOPBP1,TUBA1A,TUBA1B,UBL5,UGCG	659 (5)	
