© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Non-traumatic arthropathy	1.80E-06	Decreased	-2.012	 	ABCG2,ADA,AIF1,ALAS2,ANXA1,BLK,BLNK,C3,CACNA2D4,CD274,CD40,CD69,CD79A,CD80,CDH1,CDKN2A,CERS6,CHRM3,CHRM4,CIITA,CLEC1B,COL10A1,COL11A2,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DPAGT1,DUSP1,DUSP2,FCGR3A/FCGR3B,FCGRT,FES,FOS,FOSB,GADD45B,GBP6,GP1BA,GPR15,HBA1/HBA2,HELZ2,HIST1H2AC,HLA-A,HLA-DMB,HLA-DOB,HSPA1A/HSPA1B,HSPA8,IFNG,IL15,IL18,IL1R2,IL4R,KL,KLF12,MAGI1,MFHAS1,MMP9,NAMPT,NECTIN1,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,PPARG,PRNP,RNF14,RPL18A,RPSA,SCN11A,SCN4A,SLC7A11,SLFN12L,SNCA,SOCS3,TIMP2,TJP1,TMEM51,TNF,TNFAIP3,TNFSF13B,TNFSF4,TUBB1,TUBE1,VEGFA,VIPR1	87
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	Expansion of natural killer T lymphocytes	3.30E-04	 	-1.982	 	CD40,CTLA4,IL15,ITK	4
Infectious Diseases	Viral Infection	3.30E-04	 	-1.960	bias	ACTN1,ADA,AGO4,AHR,AMPH,ANPEP,ANXA1,ATF5,BCL11A,BCL2L2,BLK,C3,C9orf131,CACNA2D4,CAPN3,CD19,CD200,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDC42BPB,CDH1,CDKN2A,CEACAM1,CHRM3,CHRM4,CIITA,CLK1,COX6B2,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,CYP17A1,DLG2,DMAP1,DMPK,DNAJB2,DNAL1,DPYSL5,DSG2,DTX4,DUSP1,DUSP12,DYSF,EEF1A1,EGR1,ENGASE,ERP27,ESR1,ETS2,F5,FAM76B,FCGR3A/FCGR3B,FCGRT,FSCN1,GAB2,GPR146,HBA1/HBA2,HIST1H2AC,HLA-A,HPGD,HSF4,HSP90AA1,HSPA5,IFNG,IGF1R,IL15,IL18,IL4R,IRAK3,IRF6,IRS2,ISG20,ITGA2B,ITGA3,ITK,JCHAIN,Klra7 (includes others),KSR2,LARGE1,LYSMD1,MCAM,MED7,MICAL3,MMP9,MPP2,MT-CYB,NECTIN1,NFIL3,NFKBIZ,NTHL1,OAS1,PARVA,PFKM,PLK3,PNRC1,PPARG,PPP1R15A,PRNP,PYCR3,PYGL,RARB,RNF144A,RPL13A,RPSA,SEC14L1,SERPINB9,SLPI,SNN,SOCS3,SRSF2,STRADB,TIMP2,TKFC,Tlr13,TLR8,TNF,TRADD,TUBB1,TUBE1,VEGFA,XK,ZBED5,ZBP1,ZNF446	131
Cellular Development, Connective Tissue Development and Function	Adipogenesis of fibroblast cell lines	1.53E-04	 	-1.952	 	AHR,CBY1,EBF1,KLF6,NR4A1,NR4A2,NR4A3,PPARG,TGFB1I1,TNF,Zfp54	11
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Development, Tissue Development	Growth of lymph node	7.34E-06	 	-1.912	 	CD80,CD8A,CTLA4,IFNG,IL15,IL18,VEGFA	7
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Cellular infiltration by mononuclear leukocytes	9.05E-06	 	-1.909	 	C3,C6,CD274,CD40,CD80,CIITA,CTLA4,ERBB2,ESR1,HLA-A,IFNG,IL15,IL17C,IL18,IRF6,ITK,MCAM,MMP9,NFKBIZ,NR1H3,NR4A1,PLCE1,TNF,TNFRSF8,TNFSF4	25
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function	Stimulation of lymphocytes	1.30E-04	 	-1.902	bias	C3,Cd24a,CD274,CD40,CD69,CD80,CTLA4,IFNG,IL15,IL18,IRF6,ITK,TIMD4,TNF,TNFAIP3,TNFRSF25,TNFSF13B	17
Cellular Movement	Migration of cells	1.33E-08	 	-1.866	bias	Abcb1b,ACVR1,ADA,Adam1a,ADGRA2,AHR,AIF1,ANPEP,ANXA1,ATF3,BCAR3,BCAT1,BHLHE40,C3,C6,C8orf44-SGK3/SGK3,CALCB,CCDC141,CCDC88A,CCR3,CCR8,CD19,CD200,CD274,CD40,CD5L,CD69,CD80,CD81,CD8A,CDH1,CDKL5,CDKN2A,CEACAM1,CHRM3,CHRM4,CIITA,CLEC1B,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DNAAF4,DPAGT1,DSG2,DSP,DUSP1,DUSP5,Ear2 (includes others),EBF1,EGR1,EGR3,EHF,ELP6,ENPP2,EPB41L5,EPHA1,ERBB2,ESR1,F2RL3,FAM83H,FCGR3A/FCGR3B,FES,FOS,FSCN1,GAB2,GCNT2,GNAO1,GP1BA,GPR15,GUCY1A3,HEBP1,HHEX,HLA-A,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,HTATIP2,ID3,IFNG,IGF1R,IL15,IL17C,IL18,IL4R,INPP4B,IRF6,IRS1,IRS2,ITGA2B,ITGA3,ITGAD,ITK,JAG1,KDM6B,KL,KLF4,KLF6,KLK3,Klra7 (includes others),LCAT,LILRB3,LIMA1,LY96,MAGI1,MARCO,MATN2,MCAM,MCTP1,MEN1,MMP9,NAMPT,NCKIPSD,NFIL3,NFIX,NFKBIZ,NLRC4,NOTCH4,NR1H3,NR4A1,NR4A2,NUCB2,PALLD,PARVA,PAX5,Pde4d,PENK,PER1,PEX11B,PLA2G4A,PLA2G7,PLCE1,PLCL1,PLXNB1,POU2AF1,PPARG,PPP1R15A,PRKCG,PRNP,PTK2,PTPN14,PTPRM,RAP2B,RASGRP3,RGS1,RPL13A,RPSA,S1PR3,S1PR5,SEMA3E,SERPIND1,SERPINF1,SGPP2,SIGLEC9,SKAP2,SKIL,SLC3A2,SLFN12L,SLPI,SOCS3,SORBS3,STAB2,STON1,TDO2,TFPI,TGFB1I1,TIMP2,TJP1,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,TNS2,TUBB2B,VCAN,VEGFA,VIPR1,WDPCP,WWC1	184
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Cellular infiltration by lymphocytes	1.59E-05	 	-1.842	 	C3,C6,CD274,CD40,CD80,CTLA4,ERBB2,ESR1,HLA-A,IFNG,IL15,IL17C,IL18,IRF6,ITK,MCAM,NR1H3,NR4A1,PLCE1,TNF,TNFRSF8,TNFSF4	22
Cell Signaling, Molecular Transport, Vitamin and Mineral Metabolism	Quantity of Ca2+	2.67E-04	 	-1.818	bias	ASIP,BANK1,BLNK,C3,CALCB,CCR3,CCR8,CD19,CD8A,CHRM3,CXCR4,ESR1,F2RL3,FCGR3A/FCGR3B,FFAR2,FOS,GNAO1,HBA1/HBA2,HSP90AA1,HSPA5,IFNG,IRS1,KL,MCAM,NUCB2,PDE6D,PLCE1,PLCL1,POU2AF1,PRNP,RAP2B,RASGRP3,RGS1,RGS2,RYR1,S1PR3,SLC17A9,TNF,TTR,VEGFA	40
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Inflammation of joint	1.46E-07	 	-1.804	 	ABCG2,ADA,AHR,AIF1,ALAS2,ANXA1,BLK,BLNK,C3,C6,CACNA2D4,CD200,CD274,CD40,CD69,CD79A,CD80,CD81,CDH1,CDKN2A,CERS6,CFP,CHRM3,CHRM4,CIITA,CLEC1B,COL10A1,COL11A2,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DPAGT1,DUSP1,DUSP2,ENPP2,ERBB2,FCGR3A/FCGR3B,FCGRT,FES,FOS,FOSB,GADD45B,GBP6,GP1BA,GPR15,HBA1/HBA2,HELZ2,HIST1H2AC,HLA-A,HLA-DMB,HLA-DOB,HSPA1A/HSPA1B,HSPA5,HSPA8,IFNG,IL15,IL18,IL1R2,IL4R,KL,KLF12,LIPE,MAGI1,MFHAS1,MMP9,NAMPT,NDST2,NECTIN1,NFIX,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,PAX5,PILRA,PLA2G4A,PPARG,PRNP,RENBP,RNF14,RPL18A,RPSA,SCN11A,SCN4A,SELENBP1,SLC11A1,SLC7A11,SLFN12L,SNCA,SOCS3,TIMP2,TJP1,TMEM51,TNF,TNFAIP3,TNFSF13B,TNFSF4,TRADD,TUBB1,TUBE1,VEGFA,VIPR1	105
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Differentiation of pre-B lymphocytes	1.50E-05	 	-1.793	 	BLK,BLNK,Cd24a,CD79A,EBF1,IFNG,Ifnz (includes others),MZB1,PAX5,TNF,TNFSF13B	11
Connective Tissue Disorders, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Rheumatoid arthritis	1.47E-06	 	-1.782	 	ADA,AIF1,ALAS2,ANXA1,BLK,BLNK,C3,CD274,CD40,CD69,CD79A,CD80,CDH1,CERS6,CHRM3,CHRM4,CIITA,CLEC1B,COL10A1,COL11A2,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DPAGT1,DUSP1,DUSP2,FCGR3A/FCGR3B,FCGRT,FES,FOS,FOSB,GADD45B,GBP6,GP1BA,GPR15,HELZ2,HIST1H2AC,HLA-A,HLA-DMB,HLA-DOB,HSPA1A/HSPA1B,HSPA8,IFNG,IL15,IL18,IL1R2,IL4R,KL,KLF12,MAGI1,MFHAS1,MMP9,NAMPT,NECTIN1,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,PPARG,PRNP,RNF14,RPL18A,RPSA,SCN4A,SLC7A11,SLFN12L,SNCA,SOCS3,TJP1,TMEM51,TNF,TNFAIP3,TNFSF13B,TNFSF4,VEGFA,VIPR1	79
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Cellular infiltration by leukocytes	8.02E-05	 	-1.768	 	ADA,AHR,ANXA1,C3,C6,CD274,CD40,CD80,CIITA,CR2,CTLA4,DUSP1,ERBB2,ESR1,HLA-A,IFNG,IL15,IL17C,IL18,IL4R,IRF6,ITGAD,ITK,LILRB3,MCAM,MMP9,NFKBIZ,NR1H3,NR4A1,PLA2G4A,PLA2G7,PLCE1,PPARG,PPP1R15A,RPL13A,SEMA3E,SGPP2,SOCS3,TNF,TNFAIP3,TNFRSF8,TNFSF4	42
Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Infiltration by T lymphocytes	6.93E-06	 	-1.748	 	C3,C6,CD274,CD40,CD80,CTLA4,ERBB2,HLA-A,IFNG,IL15,IL17C,ITK,MCAM,NR1H3,NR4A1,PLCE1,TNF,TNFRSF8	18
Connective Tissue Disorders, Inflammatory Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Rheumatic Disease	5.14E-08	 	-1.742	 	ABCG2,ADA,AHR,AIF1,ALAS2,ANXA1,BANK1,BLK,BLNK,C3,C6,CACNA2D4,CD19,CD200,CD274,CD40,CD69,CD79A,CD80,CD81,CDH1,CDKN2A,CEACAM1,CERS6,CFP,CHRM3,CHRM4,CIITA,CLEC1B,COL10A1,COL11A2,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DNASE1,DNASE1L3,DPAGT1,DUSP1,DUSP2,EGR3,ENPP2,ERBB2,ESR1,FCGR3A/FCGR3B,FCGRT,FES,FOS,FOSB,GADD45B,GBP6,GP1BA,GPR15,HBA1/HBA2,HELZ2,HIST1H2AC,HLA-A,HLA-DMB,HLA-DOB,HSPA1A/HSPA1B,HSPA5,HSPA8,IFNG,IL15,IL18,IL1R2,IL4R,JAG1,KL,KLF12,LIPE,MAGI1,MFHAS1,MMP9,NAMPT,NDST2,NECTIN1,NFIX,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,OAS1,PAX5,PER1,PILRA,PLA2G4A,PPARG,PRNP,RENBP,RGS1,RNF14,RPL18A,RPSA,SCN11A,SCN4A,SELENBP1,SLAMF6,SLC11A1,SLC7A11,SLFN12L,SNCA,SOCS3,TIMP2,TJP1,TLR8,TMEM51,TNF,TNFAIP3,TNFSF13B,TNFSF4,TRADD,TUBB1,TUBE1,VEGFA,VIPR1,ZBP1	119
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation	Stimulation of lymphatic system cells	1.11E-04	 	-1.731	bias	C3,Cd24a,CD274,CD40,CD69,CD80,CTLA4,IFNG,IL15,IL18,IRF6,ITK,TIMD4,TNF,TNFAIP3,TNFRSF25,TNFSF13B,VEGFA	18
Cellular Movement	Infiltration by leukocytes	6.43E-05	 	-1.702	 	ADA,AHR,ANXA1,C3,C6,CD274,CD40,CD80,CIITA,CR2,CTLA4,DUSP1,ERBB2,ESR1,HLA-A,HSPA5,IFNG,IL15,IL17C,IL18,IL4R,IRF6,ITGAD,ITK,LILRB3,MCAM,MMP9,NFKBIZ,NR1H3,NR4A1,PLA2G4A,PLA2G7,PLCE1,PPARG,PPP1R15A,RPL13A,SEMA3E,SGPP2,SOCS3,TNF,TNFAIP3,TNFRSF8,TNFSF4	43
Cellular Development	Lifespan of blood cells	7.40E-05	 	-1.671	bias	CD19,CD40,CD79A,CDKN2A,IFNG,Nmnat3,PLXNB1	7
Connective Tissue Development and Function	Adipogenesis	1.48E-04	 	-1.654	 	AHR,BHLHE40,C3,CBY1,EBF1,FOSB,HSPA5,KLF6,LIPE,MTTP,NFIL3,NR4A1,NR4A2,NR4A3,PPARG,SCD,SERPINF1,TGFB1I1,TNF,Ubb,Zfp54	21
Cellular Movement, Immune Cell Trafficking	Cellular infiltration by lymphoid cells	6.94E-06	 	-1.651	 	C3,C6,CD274,CD40,CD80,CSF2RB,CTLA4,ERBB2,ESR1,HLA-A,IFNG,IL15,IL17C,IL18,IRF6,ITK,MCAM,NR1H3,NR4A1,PLCE1,TNF,TNFRSF8,TNFSF4	23
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function	Stimulation of T lymphocytes	3.89E-05	 	-1.650	bias	C3,Cd24a,CD274,CD40,CD69,CD80,CTLA4,IFNG,IL15,IL18,ITK,TIMD4,TNF,TNFAIP3,TNFRSF25,TNFSF13B	16
Cell Death and Survival, Hematological System Development and Function	Cell viability of B lymphocytes	3.18E-04	 	-1.647	bias	BLNK,CD19,CD40,CD79A,EBF1,FCGR3A/FCGR3B,FCMR,IFNG,IL17C,ITPKB,NFIL3,PAX5,PLXNB1,TNF,TNFSF13B	15
Lymphoid Tissue Structure and Development, Tissue Morphology	Quantity of bone marrow cells	1.38E-04	 	-1.641	 	Abcb1b,ABCG2,AHR,CDKN2A,CSF2RB,CSF3R,CXCR4,E2F6,EBF1,EGR1,ESR1,FANCA,FES,GAB2,IFNG,LILRB3,MYBL2,SLFN12L,SOCS3,TNF,ZFP36L2	21
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	Progression of malignant tumor	7.58E-05	 	-1.633	 	BLK,CD19,CD274,CDH1,CSF2RB,CSF3R,CTLA4,CYP17A1,ERBB2,ESR1,HSP90AA1,IGF1R,IL18,ITK,MCAM,MMP9,PLCE1,PTK2,RARB,TNF,TUBB1,TUBE1,VEGFA	23
Cell Signaling, Molecular Transport, Vitamin and Mineral Metabolism	Mobilization of Ca2+	2.48E-04	 	-1.618	bias	ANXA1,BANK1,BLNK,C3,CACNB3,CALCB,CCR3,CCR8,CD19,CD40,CD8A,CHRM3,CR2,CXCR4,ESR1,F2RL3,FCGR3A/FCGR3B,FFAR2,GAB2,GNAO1,GRK3,HEBP1,HLA-A,IFNG,ITK,Klra7 (includes others),LILRB3,PILRA,PLCE1,PPARG,PRNP,RAP2B,S1PR3,TNF,VEGFA	35
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Differentiation of B lymphocytes	2.25E-07	 	-1.568	bias	AHR,BCL11A,BLK,BLNK,Cd24a,CD40,CD69,CD79A,CD81,CDH17,CMTM7,CR2,CXCR4,DUSP5,EBF1,EGR1,ESR1,FOS,HHEX,ID3,IFNG,Ifnz (includes others),IL15,IL18,MZB1,PAX5,POU2AF1,SIGLEC10,TNF,TNFSF13B,TNFSF4,ZFP36L1,ZFP36L2	33
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Experimentally-induced arthritis	7.26E-06	 	-1.566	 	AHR,ANXA1,C3,CD69,CR2,CTLA4,DUSP1,ERBB2,FCGR3A/FCGR3B,FCGRT,IFNG,IL15,IL18,IL1R2,IL4R,LIPE,MMP9,NAMPT,PLA2G4A,SLC11A1,TNF,TNFSF13B	22
Lipid Metabolism, Small Molecule Biochemistry	Synthesis of lipid	3.43E-06	 	-1.552	bias	Abcb1b,ADA,AHR,ANPEP,ANXA1,ATF3,BNIP3,C3,CBR4,CCR3,CD40,CEACAM1,CERKL,CERS6,CHRM3,CREM,CYP17A1,CYP2R1,DPAGT1,EEF1A1,EGR1,ELOVL4,ELOVL7,ENPP2,ERBB2,ESR1,FAM213B,FITM2,FOS,HBB,HPGD,HSPA8,IFNG,IGF1R,IL15,IL18,IL1R2,ITGA3,JAZF1,LARGE1,LCAT,LIPE,MGST2,MMP9,MT-CYB,MTTP,MZB1,NR1H3,NR4A1,NR4A2,NR4A3,ODC1,PEX11B,PHKA1,PLA2G2D,PLA2G4A,PLCE1,Plpp1,PNPLA8,PPARG,PRG3,PRNP,RARB,RDH5,RGS2,S1PR3,SCD,SIGLEC9,SLC27A1,SNCA,SOCS3,TNF,VEGFA	73
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Cell movement of lymphocytes	1.42E-06	 	-1.532	bias	Abcb1b,ANXA1,C3,C6,CCR3,CCR8,CD19,CD274,CD40,CD69,CD80,CD81,CD8A,CEACAM1,CTLA4,CXCR4,ENPP2,ERBB2,ESR1,FOS,GNAO1,GPR15,HLA-A,IFNG,IL15,IL17C,IL18,IRF6,ITGA3,ITK,MCAM,MMP9,NFIL3,NOTCH4,NR1H3,NR4A1,PLCE1,POU2AF1,RGS1,S1PR3,S1PR5,SEMA3E,SOCS3,TIMP2,TNF,TNFRSF8,TNFSF13B,TNFSF4	48
Cellular Movement	Cellular infiltration	2.09E-05	 	-1.514	 	ADA,AHR,ANXA1,C3,C6,CCDC88A,CD274,CD40,CD80,CIITA,CR2,CSF2RB,CTLA4,DUSP1,ERBB2,ESR1,HLA-A,HSPA5,IFNG,IL15,IL17C,IL18,IL4R,IRF6,ITGAD,ITK,JUNB,LCAT,LILRB3,MCAM,MMP9,NFKBIZ,NR1H3,NR4A1,PLA2G4A,PLA2G7,PLCE1,PPARG,PPP1R15A,RPL13A,SELENBP1,SEMA3E,SGPP2,SOCS3,TNF,TNFAIP3,TNFRSF8,TNFSF4,VEGFA	49
Protein Synthesis	Quantity of protein in blood	9.63E-05	 	-1.500	 	ADA,BBS10,BBS12,Bmyc,C3,CACNA1E,CCR3,CD19,CEACAM1,CERS6,CHRM3,DUSP1,DYSF,ENPP2,ESR1,FAH,FCMR,FES,FFAR2,GATM,GNAO1,HBA1/HBA2,HELZ2,Hmgn3,IFNG,IL13RA1,IL18,IL4R,IRS1,IRS2,ITGAD,LCAT,LIPE,MMACHC,MMP9,NFIL3,NR1H3,PER1,PILRA,PILRB,PPARG,SCD,SGPP2,Sik1,SLAMF6,SLC16A2,SLC25A13,SOCS3,SRXN1,TNF,TRADD	51
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	Activation of myeloid cells	8.18E-05	 	-1.497	bias	AHR,ANXA1,ATF3,C3,C6,CD200,CD300LD,CD40,CD80,ERBB2,F5,FCGR3A/FCGR3B,HLA-A,IFNG,IL15,IL18,IL4R,IRF6,KLF4,LILRB3,LY96,MFSD2A,MMP9,NFIL3,NR1H3,PRG3,PRNP,SERPINF1,SHPK,SIGLEC9,SLC11A1,SLPI,SNCA,TIMD4,TLR8,TNF,ULBP1	37
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Differentiation of pro-B lymphocytes	8.10E-05	 	-1.491	 	BLK,BLNK,EBF1,IFNG,Ifnz (includes others),MZB1,PAX5,TNF	8
Cell Death and Survival	Cell death of breast cancer cell lines	2.84E-05	 	-1.490	 	ABCG2,AHR,BCL2L2,BHLHE40,BNIP3,C8orf44-SGK3/SGK3,CDH1,CDKN2A,CEACAM1,DUSP1,ERBB2,ESR1,ETS2,FHIT,HSPA1A/HSPA1B,HSPA5,IFNG,IGF1R,MELK,NACC2,NFIL3,NLRC4,ODC1,PAX5,PLK2,PPARG,PRNP,PTK2,RARB,RTKN,SENP8,SH3RF1,TDO2,TGM1,TNF,TNFRSF25,TRADD,VEGFA,WWC1	39
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Neoplasia of leukocytes	1.40E-05	 	-1.457	 	ADA,ANPEP,ANXA1,C3,CBX4,CCR3,CD19,CD200,CD40,CD69,CDH1,CDKN2A,CIITA,CLK1,CR2,CREM,CSF3R,DCLRE1A,DUSP2,DUSP5,EGR1,GADD45B,GP1BA,HSP90AA1,IFNG,IL13RA1,IL15,IL18,IRS2,ISG20,ITPKB,KLF6,LAD1,LMO1,LRRC23,MCAM,MMP9,NR4A2,NR4A3,OAS1,ODC1,PAX5,PER1,RARB,S1PR3,SEPT10,SERPINF1,SKIL,SRSF2,TIMP2,TJP1,TLR8,TNFAIP3,TNFRSF8,TUBB1,TUBE1,VEGFA,ZBTB10	58
Cell-To-Cell Signaling and Interaction	Adhesion of colorectal cancer cell lines	2.14E-05	 	-1.427	bias	CD274,CDH1,CDH17,DSG2,IL18,ITGA3,LGALS4,MAGI1,TNF,TNFRSF25,VEGFA	11
Cell Death and Survival	Cell death of leukocyte cell lines	2.87E-04	 	-1.426	 	BLK,CD19,CD40,CD69,CD8A,CTLA4,ERBB2,ESR1,GADD45B,GGT1,HSPA5,IFNG,Ifnz (includes others),IL15,IRS1,Klra7 (includes others),MYBL2,MZB1,NFIL3,NR4A1,PLCE1,TNF,TNFAIP3	23
Cell Death and Survival	Apoptosis of hematopoietic cell lines	1.12E-04	 	-1.421	 	BLK,CD19,CD40,CD69,CD8A,CTLA4,ERBB2,ESR1,GADD45B,GGT1,IFNG,Ifnz (includes others),IL15,IRS1,Klra7 (includes others),MYBL2,MZB1,NME3,NR4A1,PAX5,PLCE1,TNF,TNFAIP3,TNFRSF25	24
Cell-To-Cell Signaling and Interaction	Binding of colorectal cancer cell lines	8.41E-05	 	-1.406	bias	CD274,CDH1,CDH17,DSG2,IL18,ITGA3,LGALS4,MAGI1,TNF,TNFRSF25,VEGFA,VIPR1	12
Cell-To-Cell Signaling and Interaction	Interaction of colorectal cancer cell lines	3.57E-05	 	-1.406	bias	CD274,CDH1,CDH17,DSG2,ERBB2,IL18,ITGA3,LGALS4,MAGI1,TNF,TNFRSF25,VEGFA,VIPR1	13
Cellular Movement, Immune Cell Trafficking	Cell movement of lymphoid cells	7.12E-07	 	-1.403	bias	Abcb1b,ANXA1,C3,C6,CCR3,CCR8,CD19,CD274,CD40,CD69,CD80,CD81,CD8A,CEACAM1,CSF2RB,CTLA4,CXCR4,ENPP2,ERBB2,ESR1,FOS,GNAO1,GPR15,HLA-A,IFNG,IL15,IL17C,IL18,IRF6,ITGA3,ITK,MCAM,MMP9,NFIL3,NOTCH4,NR1H3,NR4A1,PLCE1,POU2AF1,RGS1,S1PR3,S1PR5,SEMA3E,SOCS3,TIMP2,TNF,TNFRSF8,TNFSF13B,TNFSF4	49
Inflammatory Response	Frequency of phagocytes	1.71E-04	 	-1.387	 	AHR,ESR1,IFNG,S1PR5,TNF,VEGFA	6
Cellular Movement, Immune Cell Trafficking	Cell movement of lymphatic system cells	1.30E-06	 	-1.368	bias	Abcb1b,ANXA1,C3,C6,CCR3,CCR8,CD19,CD274,CD40,CD69,CD80,CD81,CD8A,CEACAM1,CLEC1B,CSF2RB,CTLA4,CXCR4,ENPP2,ERBB2,ESR1,FOS,GNAO1,GPR15,HLA-A,IFNG,IL15,IL17C,IL18,IRF6,ITGA3,ITK,MCAM,MMP9,NFIL3,NOTCH4,NR1H3,NR4A1,PLCE1,POU2AF1,RGS1,S1PR3,S1PR5,SEMA3E,SOCS3,TIMP2,TNF,TNFRSF8,TNFSF13B,TNFSF4	50
Cardiovascular Disease, Organismal Injury and Abnormalities	Peripheral vascular disease	3.58E-06	 	-1.342	 	ABCG2,ADA,AMPH,CACNB1,CACNB3,CACNB4,CHRM3,CHRM4,CHRNB1,CHRNE,CKAP4,CSF2RB,CXCR4,DLG2,ESR1,ETS2,F5,FABP3,FCGR3A/FCGR3B,HBA1/HBA2,HBB,HEXIM1,HSPA1A/HSPA1B,Hspa1b,HTATIP2,IL15,ITGA2B,KLF4,LSR,LY96,MMP9,NOTCH4,NR4A2,PLA2G4A,PLA2G7,PLK2,PPARG,PRNP,PYGL,QPRT,RAP2B,RASGRP3,SERPIND1,SNCA,TFPI,TNF,TUBB1,TUBE1,UNC13B,VEGFA	50
Cardiovascular Disease, Neurological Disease, Organismal Injury and Abnormalities	Cerebrovascular dysfunction	7.05E-06	 	-1.342	 	ABCG2,ADA,CACNB1,CACNB3,CACNB4,CHRM3,CHRM4,CHRNB1,CHRNE,CKAP4,DLG2,ETS2,F5,FABP3,Hspa1b,ITGA2B,KLF4,LSR,LY96,MMP9,NOTCH4,PLA2G4A,PLA2G7,PLK2,PRNP,PYGL,QPRT,SNCA,TFPI,TNF,TUBB1,TUBE1,UNC13B,VEGFA	34
Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities, Respiratory Disease	Neutrophilia of airway	8.04E-05	 	-1.342	bias	DUSP1,IFNG,IL18,PLA2G4A,TNF	5
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	Progression of carcinoma	1.66E-04	 	-1.342	 	BLK,CD274,CSF3R,CTLA4,CYP17A1,ERBB2,ESR1,HSP90AA1,IGF1R,IL18,ITK,MCAM,MMP9,PLCE1,PTK2,TUBB1,TUBE1,VEGFA	18
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	Progressive malignant solid tumor	1.67E-04	 	-1.342	 	BLK,CD274,CSF2RB,CSF3R,CTLA4,CYP17A1,ERBB2,ESR1,HSP90AA1,IGF1R,IL18,ITK,MCAM,MMP9,PLCE1,PTK2,RARB,TUBB1,TUBE1,VEGFA	20
Cell Death and Survival	Cell death of hematopoietic cell lines	1.59E-04	 	-1.317	 	BLK,CD19,CD40,CD69,CD8A,CTLA4,ERBB2,ESR1,GADD45B,GGT1,HSPA5,IFNG,Ifnz (includes others),IL15,IRS1,Klra7 (includes others),MYBL2,MZB1,NFIL3,NME3,NR4A1,PAX5,PLCE1,TNF,TNFAIP3,TNFRSF25	26
